leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
10,1200,4,0.8,2,0.9305,0.4846,0.2258
6,900,4,0.04,3,0.8952,0.4597,0.2114
4,400,4,0.12,2,0.9029,0.4192,0.2258
10,1200,4,0.8,3,0.9311,0.2755,0.2114
6,900,4,0.4,3,0.9288,0.3116,0.2114
8,900,4,0.02,2,0.8566,0.3895,0.2258
6,20,4,0.4,3,0.8026,0.4242,0.2114
10,1400,4,0.12,3,0.9216,0.4583,0.2114
6,1000,4,0.14,2,0.9215,0.4972,0.2258
8,800,4,0.6,1,0.9254,0.4681,0.186
10,60,4,0.14,1,0.8095,0.4939,0.186
8,500,4,0.02,1,0.8241,0.4808,0.186
10,600,4,0.12,1,0.9075,0.5384,0.186
10,700,4,0.2,3,0.9204,0.3559,0.2114
10,500,4,0.12,3,0.9087,0.4797,0.2114
10,800,4,0.8,3,0.9303,0.281,0.2114
4,60,4,0.2,3,0.836,0.4595,0.2114
10,1400,4,0.08,3,0.919,0.4508,0.2114
10,1400,4,0.08,3,0.919,0.4508,0.2114
10,900,4,0.02,2,0.856,0.3784,0.2258
10,20,4,0.02,3,0.3063,0.1158,0.2114
8,400,4,0.8,1,0.9248,0.2849,0.186
10,500,4,0.08,1,0.8941,0.5233,0.186
8,20,4,0.6,2,0.8258,0.3024,0.2258
6,20,4,0.04,1,0.4554,0.2976,0.186
10,1200,4,0.4,3,0.9286,0.3078,0.2114
10,400,4,0.08,1,0.8867,0.5238,0.186
10,900,4,0.04,2,0.8912,0.4437,0.2258
6,700,4,0.08,1,0.9033,0.5094,0.186
4,200,4,0.04,1,0.8087,0.497,0.186
8,1000,4,0.14,3,0.921,0.4715,0.2114
6,900,4,0.14,3,0.9207,0.4195,0.2114
6,1000,4,0.04,2,0.895,0.455,0.2258
6,200,4,0.08,1,0.8502,0.4975,0.186
4,100,4,0.06,1,0.7938,0.4897,0.186
10,700,4,0.4,1,0.9214,0.4612,0.186
4,60,4,0.8,1,0.9007,0.1568,0.186
8,20,4,0.6,3,0.8444,0.3986,0.2114
4,1000,4,0.08,2,0.9135,0.4879,0.2258
4,60,4,0.12,2,0.7978,0.2777,0.2258
6,600,4,0.6,2,0.9281,0.4381,0.2258
8,60,4,0.08,3,0.7827,0.3894,0.2114
8,1200,4,0.06,2,0.9113,0.4943,0.2258
4,200,4,0.02,3,0.7718,0.4003,0.2114
4,1400,4,0.12,2,0.9232,0.4895,0.2258
10,500,4,0.02,1,0.8233,0.4969,0.186
6,20,4,0.12,3,0.7182,0.3378,0.2114
4,500,4,0.6,3,0.9287,0.3209,0.2114
10,500,4,0.12,2,0.9078,0.4987,0.2258
6,400,4,0.6,1,0.9223,0.3652,0.186
4,60,4,0.04,2,0.7076,0.2972,0.2258
4,800,4,0.2,3,0.9231,0.4829,0.2114
8,700,4,0.1,3,0.9123,0.4155,0.2114
4,800,4,0.08,1,0.9071,0.5486,0.186
6,1400,4,0.8,1,0.9276,0.3023,0.186
4,600,4,0.6,3,0.9293,0.3175,0.2114
8,600,4,0.6,1,0.924,0.4719,0.186
10,800,4,0.8,1,0.9266,0.2777,0.186
4,700,4,0.6,1,0.9262,0.3954,0.186
8,400,4,0.6,2,0.9257,0.5586,0.2258
8,1200,4,0.14,3,0.9223,0.4701,0.2114
6,1200,4,0.06,3,0.9138,0.4153,0.2114
6,1200,4,0.6,1,0.9267,0.367,0.186
10,400,5,0.06,3,0.892,0.5225,0.2114
4,900,5,0.8,2,0.9273,0.3186,0.2258
8,900,5,0.08,1,0.9132,0.5473,0.186
6,60,5,0.06,2,0.7692,0.4979,0.2258
6,20,5,0.06,3,0.6266,0.3445,0.2114
8,500,5,0.14,1,0.9138,0.5553,0.186
8,700,5,0.2,1,0.9202,0.5326,0.186
8,600,5,0.02,2,0.8449,0.5764,0.2258
8,800,5,0.14,1,0.9188,0.5545,0.186
4,1000,5,0.06,1,0.9116,0.5378,0.186
6,700,5,0.12,3,0.9242,0.5077,0.2114
10,1400,5,0.02,2,0.8888,0.625,0.2258
4,20,5,0.14,2,0.7387,0.4457,0.2258
6,500,5,0.12,2,0.9114,0.6224,0.2258
8,1200,5,0.4,1,0.9257,0.5165,0.186
6,200,5,0.08,1,0.8689,0.5537,0.186
4,100,5,0.8,3,0.9237,0.3132,0.2114
6,900,5,0.06,2,0.9081,0.6044,0.2258
10,1400,5,0.2,3,0.9311,0.4959,0.2114
4,400,5,0.14,1,0.9103,0.5497,0.186
10,1000,5,0.2,1,0.9225,0.5709,0.186
4,400,5,0.14,3,0.9184,0.5444,0.2114
4,800,5,0.4,3,0.9323,0.4506,0.2114
6,600,5,0.6,1,0.9255,0.4154,0.186
10,900,5,0.04,1,0.899,0.5318,0.186
4,800,5,0.4,2,0.9258,0.6156,0.2258
4,800,5,0.2,1,0.9227,0.5385,0.186
10,700,5,0.04,1,0.8919,0.5366,0.186
6,1200,5,0.6,2,0.9272,0.5483,0.2258
6,100,5,0.04,2,0.7779,0.5103,0.2258
8,500,5,0.4,2,0.9227,0.5289,0.2258
4,600,5,0.14,1,0.9168,0.5391,0.186
4,60,5,0.4,3,0.8917,0.47,0.2114
4,400,5,0.2,2,0.9157,0.5629,0.2258
6,800,5,0.4,1,0.9251,0.4447,0.186
6,1200,5,0.08,1,0.9172,0.536,0.186
6,1000,5,0.2,2,0.9234,0.5848,0.2258
10,1400,5,0.12,3,0.9285,0.5039,0.2114
10,100,5,0.12,2,0.8462,0.5769,0.2258
6,600,5,0.04,1,0.8858,0.5688,0.186
10,300,5,0.6,1,0.9227,0.4857,0.186
6,800,5,0.12,2,0.9177,0.633,0.2258
10,20,5,0.04,1,0.5175,0.3879,0.186
6,200,5,0.8,1,0.9229,0.4308,0.186
4,1200,5,0.06,3,0.9227,0.5088,0.2114
8,1200,5,0.8,1,0.9266,0.3892,0.186
8,200,5,0.4,3,0.924,0.5003,0.2114
4,60,5,0.04,3,0.7516,0.4402,0.2114
10,400,5,0.12,2,0.9047,0.6025,0.2258
10,300,5,0.06,1,0.8731,0.5375,0.186
4,200,5,0.2,3,0.9115,0.5202,0.2114
4,300,5,0.1,2,0.8927,0.6067,0.2258
6,800,5,0.2,2,0.9222,0.5836,0.2258
4,700,5,0.06,1,0.9038,0.5389,0.186
10,800,5,0.04,2,0.8943,0.5817,0.2258
10,900,5,0.4,2,0.9255,0.5925,0.2258
10,20,5,0.12,1,0.7421,0.5071,0.186
10,600,5,0.8,1,0.9259,0.4137,0.186
4,600,5,0.08,1,0.9073,0.5447,0.186
8,1400,5,0.2,2,0.9242,0.6004,0.2258
10,800,5,0.2,3,0.9284,0.509,0.2114
10,400,5,0.06,2,0.8833,0.6107,0.2258
6,20,5,0.08,2,0.6603,0.421,0.2258
6,100,5,0.2,2,0.8766,0.5511,0.2258
8,1000,5,0.2,2,0.9225,0.5931,0.2258
10,900,5,0.08,2,0.9113,0.6072,0.2258
8,200,5,0.14,3,0.8983,0.5196,0.2114
4,20,5,0.6,2,0.8262,0.4485,0.2258
6,100,5,0.08,1,0.8291,0.5331,0.186
4,600,5,0.1,1,0.9118,0.5227,0.186
