min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
3,0.0,replacement,4,600,0.005,4,10,0.38,0.61,0.5849512219816141,0.3756903810979041
1,0.25,removal,2,1000,0.005,7,9,0.83,0.34,0.6368033684883514,0.24470999944911587
5,0.25,removal,2,600,0.01,7,10,0.53,0.27,0.6988713277116309,0.3005429663718453
1,0.2,replacement,4,600,0.005,25,10,0.86,0.39,0.5365612915655201,0.18723358068961204
1,0.2,replacement,5,800,0.03,4,6,0.49,0.64,0.8506014013309869,0.16625352905741264
3,0.2,removal,4,600,0.03,13,7,0.09,0.23,0.7388448149582494,0.4204552018860577
3,0.25,removal,4,1000,0.01,10,10,0.97,0.41,0.7560155178370699,0.40919207902075383
1,0.0,removal,2,800,0.03,13,7,0.54,0.69,0.8454364284695433,0.20330726818717726
1,0.25,replacement,1,800,0.03,10,10,0.48,0.84,0.9007914196042371,0.19858605080475922
5,0.0,replacement,3,1000,0.01,4,7,0.71,0.3,0.7285994722462603,0.19645239480661036
1,0.0,replacement,5,600,0.005,25,9,0.61,0.67,0.578212843034996,0.1488502938240125
1,0.0,replacement,1,600,0.03,10,9,0.51,0.21,0.7680613437443021,0.24260348005366972
0,0.25,replacement,3,600,0.005,13,9,0.63,0.76,0.5335719788461719,0.2158129776847474
5,0.25,replacement,5,800,0.01,13,10,0.86,0.58,0.7685292161900574,0.30434380499643976
1,0.2,removal,4,1000,0.005,7,8,0.85,0.7,0.6514099515223244,0.2909418689864972
1,0.25,removal,1,1000,0.03,13,6,0.41,0.64,0.8457336647721764,0.17267196418737996
5,0.2,replacement,5,1000,0.01,25,7,0.11,0.47,0.5937971319498732,0.27878535088746714
0,0.25,removal,4,800,0.005,7,10,0.91,0.74,0.6107071010847407,0.2652505632670451
3,0.2,replacement,3,800,0.03,25,9,0.94,0.1,0.8685880316958667,0.3445569244400667
0,0.2,removal,5,800,0.005,4,6,0.07,0.24,0.46245874400174714,0.2551688417018777
3,0.2,removal,4,1000,0.03,25,6,0.37,0.44,0.8501992802785668,0.4229138097017885
3,0.25,removal,4,600,0.05,4,10,0.26,1.0,0.9051127380925219,0.40119838632100924
0,0.25,replacement,1,1000,0.03,4,7,0.57,0.5,0.8871291131721231,0.24133461525764754
3,0.25,removal,1,600,0.01,10,9,0.74,0.71,0.7193060421961439,0.2841620167805484
5,0.2,removal,2,600,0.01,10,7,0.68,0.74,0.6922885783773499,0.32619364305040033
0,0.25,replacement,2,800,0.005,4,7,0.63,0.62,0.5453954440608956,0.3140121885812328
1,0.25,replacement,2,600,0.01,10,10,0.47,0.36,0.6325303308563615,0.22730186996881063
5,0.2,removal,1,800,0.01,25,6,0.06,0.32,0.6293788567663633,0.346981398030794
0,0.2,removal,2,600,0.005,13,8,0.78,0.86,0.5587973353864729,0.3329299276023865
3,0.2,replacement,4,600,0.01,7,9,0.5,0.54,0.6718169488257475,0.326921157024025
