min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
1,0.25,replacement,1,600,0.05,13,6,0.25,0.93,0.8103536785508503,0.25557063897804655
5,0.25,replacement,4,800,0.01,4,8,0.73,0.46,0.7213439486100055,-0.03735073610356121
0,0.0,replacement,3,1000,0.01,4,8,0.48,0.82,0.669469927801503,0.17222935258580085
0,0.2,removal,3,800,0.05,4,9,0.3,0.99,0.8753704446712994,0.12217136105699733
0,0.0,replacement,3,800,0.01,10,10,1.0,0.26,0.6154244545924379,0.22018546603825884
1,0.25,replacement,5,800,0.05,25,8,0.72,0.86,0.9429862038794148,0.0771115165099453
3,0.25,replacement,2,600,0.005,7,7,0.34,0.5,0.5277361145739549,0.2605420556265985
5,0.0,removal,4,1000,0.03,7,9,0.05,0.95,0.8379320080425525,-0.08172980319384981
5,0.2,removal,3,1000,0.005,25,7,0.49,0.39,0.6460965414580476,0.1664185712868257
5,0.2,replacement,3,600,0.03,7,7,0.08,0.06,0.6528412665390291,0.15933064642091255
0,0.25,replacement,1,600,0.005,13,10,0.14,0.85,0.4958320969565668,0.2469965361879275
0,0.0,removal,2,800,0.005,10,10,0.23,1.0,0.5789873999044832,0.35577442492919586
5,0.0,removal,4,600,0.05,7,7,0.61,0.58,0.8992333573784648,-0.15902176114533662
3,0.25,removal,3,800,0.01,10,7,0.43,0.76,0.7004270604301827,0.3813066013883315
0,0.25,replacement,4,600,0.005,10,6,0.89,0.15,0.42672333114565686,0.21819629353258507
1,0.25,removal,2,1000,0.03,10,9,0.93,0.78,0.8974325060971562,0.08855630306702256
0,0.25,removal,3,800,0.01,4,10,0.59,0.6,0.6627328922750017,0.2032075080546727
0,0.25,removal,4,600,0.01,25,9,0.21,0.3,0.5876642665648122,0.26273342931888155
5,0.25,removal,1,600,0.03,7,9,0.35,0.89,0.8720815939399369,0.31378059576690176
3,0.0,removal,3,1000,0.01,10,10,0.54,0.32,0.7192106642227243,0.3805179753721123
1,0.2,removal,2,800,0.05,4,10,0.35,0.93,0.9191238533637318,0.07991753370113808
3,0.0,replacement,5,600,0.03,13,10,0.76,1.0,0.8471668548556188,0.28019137698388963
3,0.0,removal,2,800,0.05,10,9,0.99,0.68,0.9279244546936175,0.16787928137992014
3,0.25,removal,5,600,0.05,25,7,0.4,0.62,0.8781268782801435,0.26517155694637684
5,0.0,removal,5,1000,0.03,4,6,0.28,0.7,0.8744284999149126,0.2832878165825218
5,0.25,replacement,1,800,0.03,25,9,0.38,0.07,0.8409483499854958,0.3019667069827432
5,0.25,replacement,5,600,0.03,13,7,0.66,0.45,0.8732662986044845,0.29681159280931746
1,0.2,replacement,4,1000,0.05,13,10,0.9,0.08,0.9247083464087433,0.17596079389817876
0,0.0,replacement,3,800,0.05,25,8,0.44,0.9,0.8745968006857445,0.13722742260238086
0,0.2,replacement,3,800,0.005,10,10,0.57,0.62,0.5749265014956391,0.23079356246433969
1,0.0,replacement,4,600,0.005,25,10,0.82,0.71,0.5777016201443326,0.24069576633714507
0,0.25,removal,5,600,0.01,4,9,0.79,0.69,0.6313523823409695,0.27445996571750697
5,0.0,replacement,4,1000,0.01,13,10,0.66,0.35,0.7589281121425345,-0.11800873133471756
3,0.0,removal,2,1000,0.005,13,8,0.43,0.24,0.6033299456587358,0.29301371054203795
1,0.2,replacement,4,600,0.03,7,7,0.63,0.7,0.8426601614292936,0.15909480293466616
3,0.25,replacement,1,600,0.05,13,10,0.1,0.86,0.8305086299137823,0.15570251368501475
3,0.25,removal,1,600,0.05,10,6,0.32,0.11,0.7879418622970857,0.2211336696387175
5,0.25,replacement,4,1000,0.01,25,9,0.41,0.41,0.7754639208588375,-0.03946959793943572
0,0.25,removal,3,1000,0.005,4,8,0.39,0.53,0.5790558764077725,0.22232780515509198
5,0.25,replacement,1,1000,0.03,25,6,0.86,0.76,0.9172879155655949,0.31297977741899885
1,0.2,replacement,4,600,0.03,7,7,0.64,0.63,0.84182706528783,0.16601788714049803
3,0.0,replacement,5,800,0.005,10,7,0.31,0.84,0.5960633469123449,0.3204386564691738
3,0.25,replacement,3,600,0.05,25,6,0.78,0.55,0.8928646829453194,0.35990020228034003
0,0.25,replacement,1,600,0.03,25,8,0.36,0.41,0.7837835368504786,0.26518450409955596
1,0.2,removal,5,1000,0.01,4,9,0.73,0.63,0.727321937164259,0.12185953466686905
0,0.25,replacement,3,1000,0.03,4,6,0.05,0.21,0.6341050160567367,0.28464630956291026
1,0.25,removal,5,1000,0.01,10,8,0.59,0.81,0.7238958930400572,0.11564713121353687
5,0.0,replacement,1,800,0.01,10,8,0.41,0.51,0.7132119928288309,0.3473489994859077
5,0.2,replacement,1,1000,0.01,10,7,0.36,0.9,0.7643914418030842,0.32934502166691537
1,0.25,removal,5,800,0.01,4,10,0.32,0.33,0.6821828018538889,0.12615535512611387
3,0.2,removal,4,800,0.01,13,7,0.71,0.87,0.6948954367570699,0.37960373663386704
3,0.0,replacement,3,800,0.01,13,10,0.08,0.53,0.6686570977357138,0.3775277795509572
1,0.2,replacement,2,1000,0.005,25,7,0.4,0.43,0.5813441573550304,0.17976282194312965
1,0.2,removal,1,1000,0.03,4,8,0.16,0.2,0.7863255595016418,0.23210226488253827
5,0.25,replacement,5,1000,0.03,7,10,0.94,0.49,0.9571318087429832,0.2757842121498265
1,0.0,removal,4,1000,0.05,13,10,0.4,0.95,0.9302730229135207,0.2349843575591969
0,0.25,removal,3,600,0.03,13,8,0.68,0.18,0.7129760643149647,0.21423759866259917
0,0.25,removal,1,1000,0.01,25,8,0.12,0.21,0.6048976782893576,0.29577734298274516
1,0.0,removal,2,600,0.03,13,6,1.0,0.49,0.7685220783279894,0.15050738725687562
5,0.0,removal,5,1000,0.005,7,8,0.19,0.3,0.6156084120290217,0.2902780156773668
3,0.0,removal,4,1000,0.005,25,9,0.76,0.57,0.6414372695884154,0.3733936275926171
1,0.2,removal,4,600,0.005,7,9,0.77,0.86,0.5833168077512159,0.25243653978649827
3,0.0,replacement,4,1000,0.01,10,6,0.26,0.94,0.6825500244739722,0.3893796168379109
3,0.2,removal,4,600,0.03,25,9,0.31,0.37,0.8086216279685211,0.37573568312869654
0,0.25,removal,5,800,0.05,25,6,0.51,0.63,0.844009034499497,0.21026355566718646
3,0.2,replacement,5,1000,0.005,10,9,0.96,0.29,0.631960008308239,0.27040180043036677
0,0.0,removal,1,600,0.03,13,6,0.64,0.61,0.7244746539329814,0.28171513512309687
5,0.25,replacement,4,600,0.01,13,10,0.86,0.25,0.6674385985765081,-0.0171482618460288
0,0.2,removal,2,800,0.01,4,7,0.46,0.31,0.5940826144745873,0.35120907151807434
0,0.25,removal,2,800,0.005,10,7,0.09,0.65,0.5346739452699052,0.34693105970485294
0,0.0,replacement,5,1000,0.01,7,9,0.55,0.69,0.6864602330396358,0.25960697632304064
5,0.0,replacement,3,600,0.05,7,10,0.26,0.74,0.9085840624860912,0.04341827462828851
3,0.25,replacement,5,800,0.01,10,8,0.89,0.87,0.7407616177780374,0.2933567305761636
3,0.25,removal,3,1000,0.05,7,7,0.91,0.12,0.878251070887649,0.33322086215021174
5,0.0,replacement,4,600,0.03,25,6,0.98,0.99,0.8340278047748764,-0.1453319230778627
0,0.0,removal,3,600,0.005,13,8,0.3,0.77,0.521076435000473,0.19135852929722397
5,0.0,replacement,3,1000,0.03,7,7,0.59,1.0,0.9092756032482032,0.05378296692740647
0,0.2,replacement,2,1000,0.03,25,6,0.46,0.53,0.8317607701184611,0.3136416535547958
3,0.25,removal,4,600,0.005,25,6,0.93,0.56,0.5349235534074037,0.34114566941932456
3,0.2,replacement,5,800,0.05,10,6,0.06,0.4,0.722405076904716,0.25981364392901274
0,0.25,replacement,2,1000,0.01,4,9,0.11,0.52,0.623111319899423,0.33997653178911635
5,0.25,removal,5,600,0.01,10,10,0.94,0.22,0.6815925857746239,0.282111638362634
0,0.0,removal,2,600,0.05,4,6,0.19,0.17,0.710742645047123,0.34034169191746866
3,0.2,removal,3,600,0.005,10,7,0.43,0.06,0.41255360178290834,0.3111393752066922
1,0.0,replacement,4,1000,0.05,7,8,0.77,0.99,0.9265212851204905,0.22247795893228783
1,0.2,replacement,5,1000,0.03,13,7,0.42,0.47,0.8828749462529104,0.11559478236406551
0,0.2,replacement,3,1000,0.05,7,9,0.28,0.92,0.9343382883635514,0.16813447133227244
5,0.25,removal,3,800,0.005,10,7,0.94,0.67,0.6437418417289947,0.1504402150364037
3,0.25,replacement,2,800,0.01,10,6,0.43,0.82,0.6762336518866626,0.2697419753123983
5,0.0,removal,1,1000,0.005,10,10,0.64,0.72,0.6867768862519191,0.3471801347180684
0,0.2,removal,1,800,0.05,4,10,0.67,0.59,0.8843919750766658,0.23744959881779037
1,0.25,replacement,1,1000,0.05,10,8,0.67,0.69,0.9535155692343149,0.2055812209495621
0,0.2,removal,1,600,0.03,25,10,0.26,0.87,0.7919508903730733,0.26882776707387956
1,0.25,removal,2,800,0.05,25,9,0.07,0.24,0.8242049892054989,0.11189312794520756
3,0.2,replacement,1,800,0.01,13,10,0.34,0.17,0.6839751159630701,0.21266635674039758
5,0.0,replacement,2,600,0.01,7,8,0.81,0.68,0.682768724019766,0.2640514663681407
5,0.25,removal,1,800,0.01,7,6,0.33,0.17,0.6419607574605848,0.34314462411852065
0,0.2,removal,5,800,0.01,4,7,0.28,0.9,0.6343470679773542,0.2732667862674256
5,0.0,replacement,3,600,0.01,4,6,0.69,0.46,0.6428788501974598,0.15041226105475825
1,0.25,removal,4,800,0.03,25,8,0.43,0.94,0.8597706095507196,0.2101864723423985
0,0.25,replacement,2,600,0.05,7,6,0.41,0.67,0.8465835195613477,0.3346120663255755
1,0.0,replacement,5,1000,0.01,10,6,0.44,0.33,0.6368890001003005,0.12155056625545357
0,0.2,removal,4,600,0.01,7,10,0.26,0.4,0.608934919679119,0.2604533624500399
1,0.2,removal,1,1000,0.01,4,9,0.8,0.7,0.7170988322002811,0.28829631203929373
5,0.25,removal,2,800,0.01,13,10,0.27,0.13,0.6807292453124127,0.24023293571732263
0,0.2,replacement,1,800,0.05,13,8,0.15,0.14,0.7935563180021425,0.28654853635826194
3,0.0,removal,2,1000,0.03,10,7,0.18,0.11,0.7725249051561562,0.2820710992533777
0,0.2,replacement,5,800,0.01,4,6,0.87,0.33,0.5957572104712011,0.2540331004713271
1,0.2,removal,4,800,0.03,13,8,0.47,0.71,0.8543438984441512,0.23924902293078343
1,0.2,replacement,4,1000,0.005,25,8,0.23,0.51,0.5824205694730713,0.19844528620236235
1,0.2,removal,5,800,0.005,7,7,0.76,0.14,0.5102281474146393,0.12133174167518879
0,0.2,replacement,2,600,0.05,4,7,0.76,1.0,0.9112266038929567,0.2865319943436232
