leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
7,500,6,0.1,2,7,0.4,0.8,0.943,0.4598,0.202
13,700,6,0.08,1,8,0.85,0.91,0.9622,0.5452,0.1983
7,500,6,0.1,3,10,0.42,0.54,0.9551,0.5576,0.2169
7,700,6,0.11,3,6,0.28,0.99,0.9304,0.5766,0.2169
25,500,6,0.05,2,9,0.2,0.63,0.8256,0.4698,0.202
4,600,6,0.05,1,10,0.75,0.58,0.9361,0.5418,0.1983
25,600,6,0.1,2,10,0.24,0.77,0.9187,0.4564,0.202
13,500,6,0.11,2,10,0.88,0.61,0.9744,0.4791,0.202
10,600,6,0.05,2,7,0.84,0.82,0.913,0.4769,0.202
4,600,6,0.08,3,10,0.34,0.9,0.951,0.5556,0.2169
7,500,6,0.11,1,9,0.84,0.63,0.9667,0.5285,0.1983
7,700,6,0.05,1,7,0.58,0.78,0.9258,0.5384,0.1983
10,700,6,0.1,1,9,0.62,0.96,0.9759,0.5165,0.1983
10,500,6,0.11,3,8,0.55,0.41,0.9574,0.5627,0.2169
7,500,6,0.05,3,10,0.54,0.69,0.9243,0.577,0.2169
4,500,6,0.08,2,6,0.76,0.45,0.9199,0.4702,0.202
25,500,6,0.08,3,10,0.24,0.6,0.8827,0.5814,0.2169
13,700,6,0.1,2,6,0.86,0.42,0.9463,0.4552,0.202
25,700,6,0.11,1,9,0.74,0.89,0.9711,0.5051,0.1983
13,500,6,0.1,3,6,0.74,0.97,0.9301,0.5547,0.2169
7,700,6,0.05,3,6,0.38,0.64,0.8894,0.5733,0.2169
7,600,6,0.05,1,7,0.22,0.84,0.8574,0.5277,0.1983
25,700,6,0.11,2,7,0.61,0.7,0.9537,0.4524,0.202
25,700,6,0.08,2,6,0.22,0.83,0.8448,0.5027,0.202
4,700,6,0.05,3,6,0.35,0.51,0.887,0.5502,0.2169
25,700,6,0.05,1,6,0.4,0.61,0.8489,0.5452,0.1983
10,500,6,0.05,3,6,0.79,0.41,0.8679,0.5579,0.2169
25,500,6,0.1,1,6,0.49,0.71,0.8917,0.5248,0.1983
25,500,6,0.05,1,7,0.54,0.44,0.856,0.5489,0.1983
13,600,6,0.05,1,6,0.72,0.73,0.8836,0.5407,0.1983
4,500,6,0.11,3,10,0.23,0.52,0.9361,0.5655,0.2169
25,500,6,0.11,2,6,0.41,0.56,0.8895,0.5046,0.202
13,500,6,0.08,3,8,0.63,0.97,0.9471,0.5664,0.2169
13,600,6,0.05,1,10,0.62,0.96,0.9372,0.544,0.1983
4,600,6,0.05,1,8,0.82,0.79,0.9243,0.5612,0.1983
13,600,6,0.11,1,6,0.24,0.44,0.8785,0.5424,0.1983
4,600,6,0.11,2,6,0.57,0.92,0.9592,0.4747,0.202
4,600,6,0.1,3,7,0.3,0.88,0.9422,0.555,0.2169
7,500,6,0.1,3,6,0.43,0.52,0.92,0.5666,0.2169
4,500,6,0.11,1,10,0.51,0.62,0.9632,0.54,0.1983
13,700,6,0.11,2,8,0.22,0.83,0.9303,0.4782,0.202
13,600,6,0.08,2,10,0.71,0.92,0.9683,0.4703,0.202
10,500,6,0.1,1,7,0.68,0.43,0.9405,0.5449,0.1983
7,600,6,0.11,2,6,0.64,0.81,0.9561,0.44,0.202
10,500,6,0.11,3,7,0.85,0.42,0.9523,0.553,0.2169
7,600,6,0.11,1,6,0.82,0.65,0.9493,0.551,0.1983
7,600,6,0.11,1,6,0.31,0.84,0.9213,0.5216,0.1983
13,600,6,0.1,2,7,0.84,0.49,0.9555,0.4503,0.202
4,700,6,0.08,3,9,0.69,0.98,0.9737,0.5499,0.2169
25,700,6,0.08,1,8,0.88,0.73,0.9516,0.5315,0.1983
10,500,6,0.08,3,9,0.83,0.73,0.954,0.5532,0.2169
10,600,6,0.1,1,8,0.49,0.55,0.9545,0.547,0.1983
25,700,6,0.08,3,7,0.73,0.92,0.9408,0.5631,0.2169
13,600,6,0.08,1,7,0.67,0.78,0.9398,0.5426,0.1983
7,700,6,0.08,2,9,0.66,0.7,0.9733,0.4869,0.202
25,500,6,0.11,3,6,0.87,0.87,0.9231,0.5514,0.2169
10,500,6,0.08,2,6,0.36,0.91,0.8963,0.4916,0.202
7,500,6,0.1,2,9,0.32,0.8,0.9482,0.4724,0.202
4,600,6,0.08,2,10,0.2,0.81,0.9296,0.492,0.202
13,700,6,0.08,1,8,0.74,0.91,0.9613,0.5397,0.1983
13,500,6,0.11,1,9,0.66,0.6,0.9624,0.5071,0.1983
13,700,6,0.1,3,8,0.83,0.42,0.9705,0.5403,0.2169
25,600,6,0.08,2,6,0.52,0.45,0.8971,0.4683,0.202
13,500,6,0.1,2,6,0.38,0.98,0.9088,0.5048,0.202
10,700,6,0.11,1,10,0.76,0.7,0.9806,0.5354,0.1983
7,600,6,0.05,2,7,0.75,0.92,0.9195,0.4736,0.202
7,500,6,0.11,1,10,0.74,0.8,0.9718,0.5137,0.1983
25,500,6,0.05,1,6,0.67,0.56,0.846,0.5373,0.1983
4,700,6,0.08,1,7,0.41,0.81,0.9469,0.5384,0.1983
13,700,6,0.05,1,6,0.5,0.72,0.8889,0.5316,0.1983
13,700,6,0.11,1,7,0.74,0.92,0.9672,0.5378,0.1983
13,600,6,0.11,2,9,0.75,0.67,0.9752,0.477,0.202
10,600,6,0.11,1,9,0.55,0.41,0.9672,0.5528,0.1983
25,700,6,0.08,1,6,0.87,0.61,0.9182,0.5412,0.1983
13,600,6,0.1,2,7,0.22,0.93,0.8997,0.4553,0.202
13,600,6,0.1,1,9,0.48,0.66,0.9587,0.5315,0.1983
10,500,6,0.11,2,8,0.31,0.42,0.9328,0.4667,0.202
10,700,6,0.05,2,6,0.28,0.61,0.8638,0.4982,0.202
25,600,6,0.05,3,6,0.66,0.7,0.8701,0.5638,0.2169
13,700,6,0.1,1,9,0.71,0.87,0.9751,0.5281,0.1983
13,500,6,0.11,3,7,0.2,0.59,0.8752,0.564,0.2169
25,600,6,0.11,1,10,0.3,0.4,0.9254,0.5192,0.1983
4,500,6,0.1,3,10,0.84,0.46,0.9678,0.5664,0.2169
25,500,6,0.08,1,8,0.74,0.6,0.9266,0.5395,0.1983
4,600,6,0.11,2,9,0.34,0.97,0.9676,0.4719,0.202
10,600,6,0.1,1,6,0.74,0.46,0.9366,0.5711,0.1983
7,500,6,0.11,1,8,0.2,0.78,0.9154,0.5294,0.1983
13,600,6,0.08,1,10,0.56,0.66,0.9588,0.541,0.1983
4,600,6,0.08,1,6,0.51,0.91,0.9318,0.5386,0.1983
25,600,6,0.08,3,8,0.48,0.45,0.9233,0.5643,0.2169
13,500,6,0.05,1,10,0.42,0.71,0.9061,0.5343,0.1983
4,500,6,0.05,3,6,0.79,0.87,0.8812,0.5548,0.2169
25,600,6,0.05,2,8,0.61,0.43,0.9043,0.4764,0.202
13,600,6,0.05,3,9,0.48,0.93,0.9237,0.5699,0.2169
13,500,6,0.05,2,9,0.54,0.51,0.918,0.514,0.202
25,700,6,0.1,2,9,0.68,0.91,0.97,0.4376,0.202
25,600,6,0.08,1,6,0.23,0.98,0.829,0.5098,0.1983
4,600,6,0.11,2,7,0.31,0.57,0.9503,0.4682,0.202
25,700,6,0.11,1,9,0.48,0.99,0.9598,0.5314,0.1983
7,500,6,0.08,3,7,0.82,0.74,0.9401,0.5621,0.2169
25,600,6,0.1,2,8,0.32,0.65,0.9163,0.5031,0.202
13,700,6,0.08,2,8,0.72,0.83,0.9659,0.4496,0.202
10,500,6,0.08,3,8,0.22,0.42,0.8899,0.5719,0.2169
