leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
25,600,6,0.08,3,6,0.81,0.57,0.9032,0.6279,0.2169
7,500,6,0.11,3,8,0.44,0.75,0.9549,0.6188,0.2169
25,500,6,0.08,2,8,0.63,0.55,0.9262,0.5217,0.202
25,500,6,0.1,3,6,0.59,1.0,0.9071,0.6285,0.2169
4,600,6,0.08,2,6,0.88,0.85,0.9309,0.5135,0.202
4,600,6,0.11,1,6,0.9,0.96,0.9564,0.5227,0.1983
7,600,6,0.05,1,6,0.8,0.58,0.8877,0.519,0.1983
10,500,6,0.1,1,6,0.26,0.59,0.8733,0.523,0.1983
4,500,6,0.1,2,7,0.5,0.84,0.954,0.5226,0.202
7,600,6,0.1,3,9,0.45,0.45,0.9591,0.6296,0.2169
13,600,6,0.11,1,6,0.7,0.99,0.9473,0.5383,0.1983
25,600,6,0.11,3,7,0.67,0.9,0.9401,0.6248,0.2169
10,600,6,0.08,2,8,0.7,0.51,0.9541,0.5205,0.202
7,700,6,0.11,1,8,0.34,0.85,0.9585,0.5473,0.1983
13,700,6,0.08,1,9,0.64,0.61,0.9645,0.5239,0.1983
4,500,6,0.05,1,10,0.34,0.51,0.8948,0.5134,0.1983
13,500,6,0.11,3,6,0.66,0.59,0.9285,0.6236,0.2169
25,500,6,0.11,1,8,0.86,0.86,0.9537,0.5354,0.1983
10,500,6,0.05,1,10,0.84,0.72,0.9201,0.5303,0.1983
10,600,6,0.08,1,10,0.77,0.81,0.9658,0.5323,0.1983
4,500,6,0.08,1,6,0.8,0.93,0.9222,0.5436,0.1983
25,500,6,0.1,2,10,0.77,0.71,0.9612,0.5215,0.202
4,500,6,0.1,3,7,0.8,0.82,0.9513,0.609,0.2169
4,600,6,0.08,3,6,0.39,0.67,0.9176,0.6236,0.2169
10,600,6,0.08,3,7,0.79,0.46,0.939,0.6111,0.2169
13,500,6,0.05,1,6,0.77,0.87,0.8705,0.5302,0.1983
25,600,6,0.05,2,7,0.31,0.41,0.8381,0.5179,0.202
25,700,6,0.11,2,9,0.37,0.66,0.9477,0.5193,0.202
4,700,6,0.05,3,10,0.51,0.58,0.9381,0.6354,0.2169
25,700,6,0.11,1,8,0.82,0.83,0.9677,0.5197,0.1983
4,700,6,0.05,2,6,0.44,0.89,0.908,0.5299,0.202
10,500,6,0.05,2,6,0.41,0.64,0.8588,0.5308,0.202
4,700,6,0.08,1,6,0.41,0.77,0.9314,0.5164,0.1983
4,500,6,0.08,1,7,0.52,0.83,0.9373,0.5335,0.1983
4,500,6,0.05,3,6,0.2,0.43,0.8171,0.607,0.2169
7,500,6,0.08,2,10,0.79,0.66,0.9597,0.5192,0.202
4,500,6,0.11,3,7,0.45,0.98,0.9496,0.6108,0.2169
10,700,6,0.11,2,10,0.29,0.88,0.963,0.5195,0.202
10,700,6,0.11,2,9,0.35,0.81,0.9657,0.5107,0.202
4,600,6,0.05,3,8,0.34,0.58,0.9042,0.6266,0.2169
13,500,6,0.08,1,6,0.62,0.44,0.9047,0.5278,0.1983
13,600,6,0.05,3,7,0.83,0.62,0.9041,0.6204,0.2169
4,500,6,0.08,3,9,0.8,0.95,0.9531,0.6178,0.2169
7,600,6,0.08,1,6,0.26,0.81,0.8844,0.5095,0.1983
10,700,6,0.05,3,6,0.47,0.75,0.8929,0.6269,0.2169
13,600,6,0.11,3,7,0.63,0.89,0.958,0.6082,0.2169
25,700,6,0.08,3,6,0.51,0.73,0.9009,0.6141,0.2169
10,700,6,0.05,2,6,0.62,0.65,0.9017,0.5113,0.202
10,500,6,0.11,2,10,0.4,0.84,0.9607,0.5002,0.202
13,500,6,0.05,1,8,0.9,0.72,0.9038,0.5382,0.1983
