min_CNLs,consensus_thres,consensus_alg,removeminusones_df,random_seed,tree,leaf,learn_rate,accuracy_train,accuracy_test
2,0.0,removal,0,1,1300,40,0.01,0.6045910030954437,0.3282314614487116
1,0.2,replacement,0,1,1300,7,0.15,0.8416953888401584,0.07203912086666431
1,0.25,removal,0,3,400,40,0.01,0.49679494780799793,0.19948479841644917
3,0.0,removal,0,3,200,10,0.2,0.7444326950755527,0.1738267643863486
2,0.0,removal,0,3,1000,7,0.05,0.7294781426692118,0.027091814078044396
2,0.1,removal,0,2,1300,10,0.15,0.8062967719733919,-0.11911193923954011
0,0.1,removal,0,3,1300,13,0.05,0.7263510299981311,0.25557504382429497
3,0.2,replacement,0,1,1000,10,0.15,0.8361518611204388,0.1800340623932929
1,0.2,removal,0,3,1300,10,0.05,0.7343755295648724,0.020684910083967223
2,0.2,removal,0,1,1300,7,0.1,0.785648404633563,0.19709649691513287
0,0.1,removal,0,1,1300,10,0.05,0.7288317954188099,-0.013721605938741277
3,0.0,removal,0,3,1300,40,0.05,0.7762454077871216,0.1349169055514282
1,0.25,replacement,0,1,1000,13,0.01,0.5559751734521696,0.2685507245867256
0,0.2,replacement,0,2,400,10,0.01,0.48358221580017824,0.17720230656600133
3,0.1,removal,0,3,1600,40,0.15,0.8295802788735781,0.0416187993588748
0,0.0,replacement,0,1,1000,4,0.01,0.5656364646044989,0.10875051688632864
3,0.2,replacement,0,2,1000,40,0.1,0.8236219764424075,0.14123349979947974
3,0.0,replacement,0,3,600,10,0.05,0.718837946346361,0.1944203466275337
1,0.1,replacement,0,3,1300,40,0.1,0.8133647039457399,0.10911583827027871
1,0.25,removal,0,1,600,10,0.15,0.7589960769566793,0.2257063976920919
1,0.0,removal,0,2,600,40,0.15,0.7678788455150255,0.15333093139727338
0,0.25,replacement,0,3,400,4,0.05,0.6439123948960388,0.3044228289565981
3,0.2,replacement,0,3,800,7,0.1,0.8231078476905029,0.023906338228012358
1,0.2,replacement,0,3,400,7,0.15,0.7683552788438905,0.12451572086793261
0,0.1,replacement,0,2,600,40,0.1,0.7828653669622365,0.11176489452071003
3,0.1,removal,0,3,200,13,0.01,0.4343209929660008,0.21137536841001747
3,0.1,replacement,0,2,800,13,0.1,0.8161382629620135,0.1711268420898744
3,0.0,replacement,0,2,1000,7,0.2,0.8028459559518121,0.11844911893056342
1,0.0,replacement,0,2,1000,4,0.15,0.7931800237013473,0.11825518116485345
1,0.0,replacement,0,1,200,13,0.15,0.67003071264472,0.2698577360735087
1,0.2,removal,0,3,1600,40,0.01,0.6216979524445458,0.1629109637365347
1,0.25,removal,0,3,1600,13,0.2,0.8007284836088091,-0.04923485163671937
2,0.2,removal,0,1,800,40,0.1,0.7612264582466097,0.21604347769126908
0,0.25,replacement,0,2,400,40,0.1,0.7460102497559098,0.1284169755039798
3,0.2,removal,0,2,400,13,0.15,0.7509601885010038,0.11100649964648324
1,0.0,removal,0,1,1600,40,0.05,0.7451456884699503,0.22967332800693485
1,0.2,replacement,0,3,600,7,0.1,0.7683772869786192,0.13503713621542457
3,0.2,replacement,0,2,1600,4,0.2,0.8677108957379303,0.12847221495137462
1,0.2,replacement,0,1,400,10,0.01,0.4645687627011096,0.26461349030726644
