min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
5,0.2,replacement,1,800,0.08,10,7,0.95,0.44,0.9826613352373891,0.2621960456129163
5,0.2,removal,1,800,0.01,7,5,0.14,0.12,0.57751996264731,0.32958409903844554
5,0.0,removal,3,800,0.01,7,8,0.51,0.45,0.7296316587481549,0.20220414211542226
3,0.2,removal,1,600,0.1,4,10,0.91,0.69,0.9575326292536448,0.11085881724877544
0,0.2,replacement,1,800,0.08,7,9,0.05,0.28,0.787800095035781,0.24318195422526556
3,0.2,replacement,3,800,0.08,4,5,0.45,0.69,0.9332445515306662,0.37921818614928626
3,0.0,removal,3,600,0.08,4,10,0.07,0.21,0.8407809563543929,0.39116952440315833
0,0.25,replacement,2,800,0.1,4,7,0.36,0.71,0.9549741490260676,0.28220129401737204
0,0.25,removal,3,800,0.05,10,9,0.42,0.72,0.8843203981143967,0.06886281140337569
3,0.25,replacement,3,800,0.05,13,9,0.94,0.8,0.9610809471585434,0.3520689912236641
3,0.2,replacement,1,1000,0.08,13,10,0.72,0.77,0.9895105483610934,0.06164914204722993
5,0.2,replacement,1,1000,0.1,25,4,0.64,0.43,0.9333841216656854,0.28364712675512005
0,0.0,removal,2,800,0.01,25,8,0.63,0.21,0.6112644631782383,0.33709805657695924
3,0.25,removal,3,800,0.05,10,10,0.82,0.56,0.9329711672548348,0.3683698990939699
3,0.25,replacement,1,1000,0.1,7,5,0.56,0.61,0.9643568975033601,0.04804471592047621
5,0.2,removal,1,800,0.01,4,6,0.41,0.22,0.6701055425629778,0.34227203774182424
0,0.0,removal,2,1000,0.08,4,10,0.25,0.32,0.9045144109074594,0.29034191064155424
5,0.25,replacement,3,800,0.05,25,6,0.53,0.36,0.9162480699574378,0.13035490287610318
0,0.0,replacement,3,800,0.01,4,10,0.11,0.58,0.6418589211152271,0.1553657111530633
5,0.2,removal,1,1000,0.1,7,5,0.51,0.14,0.9186807523571617,0.2437292168659314
0,0.2,removal,3,600,0.08,7,4,0.14,0.52,0.7239769430266185,0.16567583184124424
3,0.2,removal,1,800,0.05,7,8,0.24,0.31,0.8959133010440554,0.18640669019192935
0,0.2,replacement,1,800,0.01,10,7,0.35,0.95,0.6768628500547034,0.2603847112456674
0,0.25,replacement,2,800,0.1,7,5,0.26,0.99,0.8925074614313282,0.3199488849354746
5,0.25,removal,3,1000,0.08,13,4,0.98,0.17,0.8701442442754646,0.007773038012273248
0,0.25,removal,2,800,0.08,10,6,0.11,0.35,0.8371459369794364,0.3142404087386321
5,0.2,replacement,2,1000,0.1,10,9,0.42,0.5,0.9898592787467051,0.16523609298247877
5,0.0,removal,1,1000,0.01,4,6,0.72,0.74,0.739295140595108,0.34914903572836586
5,0.2,removal,2,600,0.01,25,5,0.43,0.57,0.6150531522759142,0.30704822814703026
0,0.25,removal,1,800,0.05,13,7,0.52,0.41,0.8628512420979835,0.25447679032776926
5,0.25,replacement,3,600,0.05,10,5,0.11,0.58,0.7373231061733723,0.15074881920402694
3,0.2,replacement,1,1000,0.05,10,10,0.27,0.66,0.9532837700567766,0.13374549449977247
3,0.0,replacement,2,800,0.05,25,9,0.93,0.42,0.9235536985579966,0.16584116773037172
3,0.25,replacement,1,800,0.01,4,7,0.41,0.71,0.6949931807720081,0.23600588531202238
5,0.2,removal,1,800,0.1,7,8,0.47,0.8,0.971980230910831,0.2342758267948113
0,0.25,removal,2,800,0.1,25,7,0.71,0.06,0.7865794662864971,0.2634410526451946
0,0.0,replacement,3,800,0.05,13,9,0.77,0.7,0.885722776911037,0.05613522702827367
0,0.2,removal,2,600,0.05,10,7,0.74,0.95,0.864598208397349,0.31551814098055186
3,0.2,removal,1,800,0.1,25,6,0.8,0.9,0.9579747132655254,0.16551002866110998
3,0.0,replacement,3,800,0.05,25,8,0.67,0.27,0.8964839968673912,0.3820131969753322
5,0.2,removal,1,800,0.1,25,9,0.7,0.17,0.9578820691382745,0.22967584723118983
