min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
2,0.0,replacement,1,600,0.08,4,0.8082890340450257,0.28622935169868147
2,0.0,replacement,3,1300,0.12,4,0.9209503377779819,0.22560572248445687
2,0.1,removal,3,400,0.15,4,0.8362552666516075,0.2892365092035749
3,0.2,removal,1,1300,0.12,8,0.9820180647169693,0.23188155715796432
0,0.2,replacement,2,1000,0.08,6,0.9656051718489012,0.3046764054921587
1,0.0,removal,1,1000,0.1,6,0.9458858470652417,0.20270712433890425
2,0.2,replacement,2,1000,0.08,6,0.9785278196272408,0.2239693588679761
1,0.2,replacement,1,1300,0.05,10,0.9775904757756071,0.2720063454286942
2,0.1,removal,3,1000,0.1,4,0.8877751957977523,0.2589988120931329
0,0.2,removal,2,400,0.15,10,0.9183967613837237,0.32994656133055156
1,0.0,replacement,3,600,0.15,10,0.9569066790153296,0.2762325980172001
2,0.2,replacement,2,1600,0.1,4,0.9643062956494352,0.20150349525214928
3,0.1,removal,2,1300,0.15,6,0.9814073751297453,0.2850585658158501
3,0.0,removal,3,1600,0.08,6,0.969501391503402,0.3091836203389481
3,0.1,removal,3,1000,0.05,4,0.8210656967430671,0.3576556595349627
2,0.25,replacement,3,400,0.12,8,0.965177261548211,0.2768223603620552
3,0.25,replacement,2,400,0.1,8,0.9587718532301371,0.37904428156008385
0,0.1,replacement,1,400,0.15,4,0.8759744817133738,0.16599764901999903
2,0.1,removal,2,1000,0.12,6,0.9669378480311174,0.10243167019003252
1,0.0,removal,3,1000,0.12,6,0.9573185843292122,0.25076414415546566
3,0.25,replacement,3,1000,0.12,8,0.9952182569518079,0.3168798299996647
3,0.1,replacement,2,1600,0.1,10,0.9974724685785739,0.2932102464409073
1,0.25,removal,3,800,0.08,6,0.9249977209577958,0.2580037325609791
2,0.0,replacement,2,400,0.12,8,0.9252314733620944,0.1792814972769139
0,0.0,removal,2,1300,0.05,8,0.9165387342742619,0.3587495982111545
1,0.0,replacement,1,1300,0.05,4,0.8176577053304868,0.2478833595859623
0,0.1,removal,2,600,0.12,10,0.9300911077267334,0.34923951714908763
2,0.1,replacement,1,1600,0.05,6,0.9760731346851261,0.2437168705096352
3,0.1,removal,1,1600,0.1,4,0.9272620686620595,0.26602469346457647
0,0.25,removal,2,400,0.1,8,0.886456237339756,0.3544167872483406
1,0.0,removal,3,1600,0.1,8,0.9753393023064794,0.25589216511598245
3,0.2,removal,3,800,0.12,10,0.9694303467175681,0.2736556888470705
2,0.1,removal,2,600,0.05,10,0.8948833364682945,0.2304244832673069
1,0.25,removal,1,400,0.05,10,0.838997860482513,0.30434780423970265
2,0.2,removal,1,800,0.1,10,0.9598457756091556,0.14862396802700084
1,0.1,removal,3,400,0.08,4,0.7288437021311689,0.31078914399037083
2,0.0,replacement,2,800,0.05,4,0.78465757982405,0.24839418646415368
0,0.1,replacement,3,600,0.08,10,0.9626822666782971,0.2648796181142835
3,0.1,removal,2,1600,0.15,8,0.9885168908590309,0.27363908118143565
3,0.25,removal,3,1600,0.12,6,0.9828640435203518,0.2146857068445417
3,0.2,replacement,1,600,0.15,8,0.9903967838364669,0.32149012035598357
2,0.1,replacement,1,600,0.08,10,0.9690309260617918,0.24348252248482627
0,0.1,replacement,1,800,0.15,6,0.9842054252835833,0.12441819194122672
1,0.1,removal,2,600,0.15,4,0.8704076868068639,0.3029010137753442
3,0.25,replacement,1,1600,0.08,6,0.9910318147725815,0.3253520380719639
1,0.1,removal,1,800,0.12,4,0.8624637501975623,0.1927226007148587
3,0.0,removal,3,400,0.08,10,0.902400207115816,0.3268690459109749
2,0.1,replacement,2,1600,0.1,10,0.9974812751965876,0.21440302609990336
0,0.2,removal,2,800,0.08,8,0.9172123072606144,0.35018899513601187
0,0.2,replacement,2,1600,0.08,10,0.990722119995098,0.2978387638546459
3,0.25,removal,1,400,0.05,4,0.6898934504644082,0.3172674819681365
0,0.2,removal,1,400,0.15,6,0.902421476775345,0.045816512591636216
2,0.1,removal,2,1600,0.12,8,0.983898054593819,0.10039182732597407
1,0.25,replacement,3,1000,0.05,8,0.9585414282183243,0.29970366972641305
3,0.0,replacement,1,1600,0.05,10,0.9603036725668894,0.27249805445123565
2,0.0,replacement,1,800,0.12,4,0.8861734197408958,0.19941737514356916
3,0.1,removal,3,1000,0.1,4,0.8942302619714917,0.33288366435595784
1,0.2,replacement,3,1600,0.08,6,0.9867649164202258,0.2873754144697044
0,0.2,removal,1,1000,0.15,6,0.9554591881449135,-0.02882995721615611
1,0.25,removal,2,400,0.05,10,0.8427899544220805,0.29506490768144
1,0.25,replacement,1,400,0.05,8,0.8664166524076362,0.30779729768554986
0,0.25,removal,2,1000,0.1,6,0.931864734337098,0.3379435018684246
0,0.25,removal,1,1000,0.05,8,0.9089613830124548,0.06456251342122277
3,0.1,removal,2,1600,0.12,10,0.9859545867132107,0.3007247053710824
1,0.2,removal,2,1300,0.15,4,0.9295602390048592,0.27040430501324053
2,0.25,replacement,3,800,0.05,4,0.8314413593712092,0.3109576183198651
1,0.2,removal,3,1000,0.05,10,0.9228819670888642,0.2882877014778794
3,0.0,removal,2,400,0.05,6,0.8030107056213983,0.43172801156817575
3,0.1,replacement,3,400,0.05,6,0.8693514835940074,0.3358610393295879
3,0.0,replacement,1,600,0.05,8,0.8874058390495403,0.30702097082963653
2,0.25,removal,1,1300,0.1,4,0.9143956735346744,0.20233648704931995
1,0.0,replacement,1,400,0.1,8,0.8943985750498656,0.26571676318614723
2,0.1,replacement,1,1300,0.12,10,0.9968609356192131,0.21952093105626735
0,0.1,removal,1,400,0.05,10,0.8210381253803725,0.15480352333653058
1,0.25,removal,1,800,0.15,6,0.957534768360721,0.20298899422296512
2,0.2,replacement,1,1300,0.1,8,0.9944042797386149,0.22964885191868079
2,0.2,replacement,3,1000,0.05,8,0.9685459343184074,0.2840800098863159
0,0.1,replacement,1,1000,0.08,6,0.9699163632242334,0.13578252673334257
0,0.2,removal,1,1000,0.12,10,0.957646860146222,-0.04892616541769157
3,0.2,removal,3,1600,0.05,8,0.9614936920106725,0.3017555294932519
2,0.2,replacement,1,400,0.1,6,0.9300612555950721,0.2734586636085413
0,0.1,removal,2,1000,0.15,4,0.8883982403187046,0.35470502173233687
1,0.1,replacement,3,1300,0.1,8,0.9939244176394889,0.27553263619103896
3,0.1,replacement,2,1300,0.05,8,0.9834513345815983,0.3355116430321019
1,0.0,removal,1,600,0.12,8,0.9388338449431458,0.20188787837660982
0,0.25,replacement,3,1300,0.12,4,0.9476649925855474,0.18345511523975877
3,0.0,replacement,3,1300,0.12,6,0.9761444585243417,0.3120693557307862
1,0.2,removal,1,600,0.1,4,0.8160846025307047,0.22938664970371425
3,0.2,replacement,2,600,0.12,4,0.917936286324235,0.3506045338828768
2,0.1,replacement,3,1000,0.08,8,0.9872334076004953,0.28134323559736496
2,0.1,replacement,2,600,0.15,8,0.9897831055983588,0.21371857211740786
2,0.25,removal,1,1000,0.05,4,0.814442686734123,0.2667302723272186
3,0.25,replacement,3,1000,0.1,6,0.9875095612793093,0.3125867253660901
3,0.1,replacement,3,1000,0.15,8,0.9973814001217438,0.31430231633751515
3,0.2,removal,2,1000,0.05,6,0.9171137253701167,0.3884811752816245
2,0.2,removal,1,1600,0.08,8,0.9743866216397553,0.12872704333376095
2,0.0,replacement,2,1300,0.08,10,0.9676422647353313,0.1409963108668889
3,0.25,removal,1,1600,0.15,10,0.9913423785327943,0.23031894762204308
3,0.0,replacement,2,1300,0.1,10,0.9774544534983005,0.2998805807406689
1,0.1,removal,2,400,0.08,10,0.8884908812542193,0.29452008951194375
1,0.2,replacement,2,600,0.1,4,0.8694453498987461,0.31552077427688907
2,0.1,replacement,1,1000,0.12,6,0.9890109745727874,0.21070077618293903
0,0.25,replacement,3,1300,0.05,10,0.9730931567945327,0.18917676238411107
2,0.1,removal,2,600,0.1,6,0.9304388217747034,0.17838131368022014
0,0.1,removal,2,600,0.1,10,0.917885436829609,0.3645837992628769
3,0.0,replacement,3,1300,0.1,10,0.9777062302639731,0.3030344211191628
2,0.2,removal,1,600,0.12,10,0.9537536008694881,0.14243473976117493
2,0.1,replacement,3,600,0.08,6,0.9553566535270654,0.3030201257516453
3,0.2,replacement,1,1300,0.15,4,0.9761396114866034,0.31247406430486857
0,0.2,removal,1,1300,0.15,4,0.9180924598265977,0.007022731538542604
2,0.25,removal,3,600,0.05,6,0.8528717268156855,0.2765885686297934
2,0.0,replacement,3,1300,0.05,4,0.8424844469592425,0.2779800109622016
0,0.2,removal,2,1300,0.1,8,0.9560780982478874,0.3301671964041568
2,0.0,removal,1,1600,0.05,4,0.8687689926380169,0.22465698753329288
2,0.0,removal,1,1300,0.15,8,0.9837404320548683,0.12718714290386846
1,0.25,replacement,3,1300,0.15,8,0.9971285101498428,0.2679358509542774
3,0.1,replacement,3,600,0.08,8,0.9743000474273047,0.33028987651300246
1,0.1,replacement,3,1000,0.15,8,0.995358942676918,0.23953279122353321
0,0.25,removal,2,1000,0.08,8,0.9340805907481257,0.3370831229342063
1,0.1,removal,1,400,0.1,6,0.8731224851768651,0.26012538103456295
0,0.25,replacement,3,1000,0.12,4,0.9309462093111371,0.20178543032302798
3,0.2,removal,1,400,0.15,10,0.948548125456177,0.28342461918416195
1,0.2,removal,3,1600,0.05,10,0.9512410564746813,0.2695823503068112
0,0.0,replacement,3,600,0.1,4,0.812038803078203,0.1800088019328967
0,0.1,replacement,2,1600,0.08,4,0.9377987619837922,0.2864874080702603
1,0.25,replacement,2,1300,0.12,6,0.9915005107420427,0.2471263059787253
0,0.2,removal,3,600,0.05,6,0.8253440888343131,0.2307888974914566
2,0.1,replacement,3,1600,0.15,4,0.9828525750550396,0.2734946978942311
1,0.2,removal,2,600,0.12,10,0.9489992563510243,0.2611397123978053
2,0.2,replacement,3,400,0.15,8,0.9784041822960468,0.27846182747943726
2,0.1,removal,2,400,0.05,10,0.8531773019544843,0.24979089733407556
0,0.2,removal,1,1000,0.15,8,0.9634505374025955,-0.03471240214941251
1,0.2,removal,3,600,0.05,10,0.879374473520628,0.3092177232170309
0,0.0,replacement,1,800,0.12,6,0.9354163085111183,0.003123726040463959
0,0.25,replacement,1,1000,0.15,8,0.9910526533147699,0.0850755899964204
3,0.25,removal,1,1600,0.12,4,0.9456849947373374,0.19931165645374538
1,0.2,replacement,2,1600,0.1,8,0.9959517938133842,0.26435096524549073
1,0.0,removal,3,800,0.1,10,0.9500047019340369,0.2584345281828899
0,0.0,replacement,1,1300,0.08,4,0.8662622730841448,0.1037499710995452
0,0.0,removal,2,1600,0.08,10,0.9560891451225285,0.32504551917356206
2,0.2,replacement,1,1000,0.08,10,0.9869793435501002,0.22383644100292577
3,0.0,removal,2,1300,0.1,4,0.9123399763706019,0.3145059987837122
0,0.2,removal,3,600,0.08,4,0.7769883478368798,0.18901309759575324
0,0.2,removal,2,800,0.05,6,0.8541372643466116,0.3792840323067568
2,0.25,removal,1,800,0.1,4,0.8703448658143504,0.2282413570751698
1,0.2,replacement,3,1300,0.1,6,0.9876618534950377,0.28807414517984187
0,0.0,replacement,3,1600,0.08,8,0.9570095004276307,-0.08540183804394408
1,0.1,removal,3,800,0.08,8,0.9360507285520188,0.2967895105823328
2,0.25,removal,3,1000,0.1,4,0.8863756879498572,0.21113227832433767
0,0.1,removal,3,600,0.08,4,0.7729508201361839,0.2100121573039635
2,0.0,replacement,3,1600,0.05,6,0.9432581699420609,0.261760689580968
3,0.25,replacement,3,400,0.15,10,0.9827393973019308,0.3007550871683443
