min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
2,0.0,removal,3,600,0.12,10,0.9526972279924625,0.268348902889856
0,0.0,replacement,3,1600,0.15,6,0.9682792684321928,-0.16346348977953018
2,0.25,replacement,2,400,0.1,6,0.9368963357524587,0.312896983719928
3,0.25,removal,3,1300,0.15,10,0.9887799199666415,0.266849560221868
2,0.2,removal,2,1600,0.1,6,0.9771049640889127,0.06272265033595281
2,0.1,removal,2,1000,0.15,8,0.9798884461602406,0.11928723812154618
3,0.25,replacement,3,400,0.1,4,0.849917242058181,0.3498236470352305
3,0.0,removal,1,1000,0.15,6,0.9770874161200321,0.1991889343763643
0,0.25,replacement,1,800,0.05,4,0.8232925786121579,0.17993552949680403
0,0.25,removal,1,1000,0.05,4,0.7921733604464085,0.1579698959689264
1,0.25,removal,3,600,0.1,6,0.9243702992597416,0.22671364022587903
1,0.0,replacement,2,400,0.15,6,0.9143550027024585,0.3124129274175499
0,0.25,replacement,3,400,0.1,4,0.8127323405675939,0.2676721594112704
1,0.0,replacement,3,800,0.15,6,0.9590953020110284,0.24707110685476474
2,0.0,removal,1,400,0.12,4,0.819995732101404,0.24335927428651627
3,0.25,removal,3,1600,0.05,10,0.9666421714434241,0.31907788906566226
3,0.0,replacement,2,600,0.1,4,0.8452960528030383,0.4140422124818234
2,0.1,removal,2,400,0.12,4,0.8198036254345534,0.28968457396437464
2,0.1,replacement,1,1600,0.1,6,0.9952868848294861,0.18165875410604704
0,0.25,replacement,3,400,0.05,4,0.6973870411073799,0.3057621411192122
0,0.25,replacement,2,800,0.12,10,0.9844591006271918,0.3313177638608271
0,0.1,replacement,2,1600,0.08,8,0.9907019177912516,0.3357137649651689
0,0.2,removal,3,1300,0.08,10,0.9524270852954859,-0.015180234815880267
0,0.25,replacement,3,1000,0.12,6,0.982531948390325,0.1811264399020548
1,0.25,removal,1,1600,0.05,8,0.9538721454864807,0.20483211917988986
3,0.1,replacement,3,800,0.12,4,0.9507051233206891,0.31976776069923374
2,0.0,replacement,1,1300,0.08,4,0.8979315621185716,0.21754443337036578
0,0.1,replacement,3,1300,0.12,10,0.9951460585163531,0.23375967698833944
2,0.0,removal,3,1000,0.05,10,0.9321930375273169,0.30850637669884096
2,0.2,replacement,1,600,0.12,4,0.9124169546740615,0.20892885450470267
0,0.2,replacement,1,1000,0.1,6,0.9764102309858339,0.1271534298035728
0,0.1,replacement,3,1300,0.08,6,0.9815523029575141,0.2334049338961236
3,0.2,replacement,2,800,0.1,8,0.9898959145562147,0.36470457508258947
0,0.25,removal,2,600,0.08,8,0.9023425164676331,0.3668709138512761
1,0.0,removal,1,1600,0.05,6,0.9357729958799548,0.17068786267102054
