min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
2,0.1,replacement,2,600,0.08,10,0.9738685570907808,0.3024554231857228
0,0.0,replacement,3,600,0.12,10,0.9396047682702052,0.08958980529273108
2,0.1,removal,1,400,0.12,10,0.9409017029182432,0.20103776736326906
3,0.0,removal,3,1600,0.15,4,0.9601281605454443,0.3503159223658465
2,0.2,replacement,1,800,0.08,8,0.9807624544446991,0.14079729882029335
1,0.1,removal,3,400,0.05,8,0.8448840205541763,0.2796002943044211
0,0.0,removal,2,800,0.12,8,0.9469949472215347,0.35263206737304786
3,0.0,replacement,1,400,0.12,10,0.9478779876651472,0.21164997658394202
0,0.2,replacement,2,800,0.08,10,0.9716410792260853,0.3880523611579636
3,0.1,removal,1,600,0.15,8,0.9721580639415249,0.21283059478162958
2,0.0,removal,1,800,0.05,10,0.9306554716132103,0.22459202718149873
3,0.25,replacement,2,800,0.15,10,0.9959876132801929,0.3378765852570371
1,0.0,replacement,3,1000,0.12,8,0.9698005861154047,0.21527609783721202
2,0.1,removal,2,1600,0.1,6,0.9789320955915117,0.1462355274020919
0,0.1,replacement,1,800,0.1,8,0.98227913438677,0.14816987822918826
2,0.2,removal,3,600,0.05,10,0.9015058847917006,0.3529997973882387
2,0.25,replacement,2,600,0.05,8,0.9352036010109589,0.31186120158615416
1,0.2,replacement,1,1000,0.08,6,0.9744928668849978,0.23792802885049336
2,0.25,replacement,2,400,0.1,4,0.8454849565862542,0.31436099047982136
2,0.0,removal,1,1300,0.1,8,0.9781271272953185,0.18310851503296943
1,0.25,removal,1,800,0.05,10,0.9223500223444202,0.23033249322561944
0,0.25,replacement,3,400,0.1,4,0.8170398884689709,0.3309569394012467
0,0.25,removal,2,600,0.12,4,0.828204994946232,0.3938890600842332
0,0.2,removal,3,1000,0.15,6,0.9577999144953527,-0.04087254850080946
1,0.25,replacement,3,800,0.08,6,0.9620277225965073,0.2775856093921688
1,0.0,removal,2,400,0.1,6,0.8899058879407401,0.3735103685966361
3,0.1,replacement,3,800,0.1,4,0.9299672562909785,0.34748547881226755
3,0.1,removal,3,400,0.15,8,0.9539522534467165,0.3715863062496846
0,0.0,removal,3,800,0.15,4,0.8867909321365195,0.12310290772627841
3,0.25,removal,1,1600,0.08,4,0.9360285857553937,0.19688110705684403
2,0.25,removal,2,800,0.1,10,0.9670215590561788,0.2563677653481533
0,0.25,removal,1,1600,0.05,4,0.855215746419665,0.1762201461057371
0,0.0,removal,2,1600,0.15,6,0.9697756016064216,0.3095070027858903
2,0.25,replacement,3,600,0.05,10,0.94454558058605,0.3884252385408443
3,0.0,replacement,3,1000,0.05,6,0.9287546901890088,0.37353076555754305
1,0.25,replacement,1,400,0.1,8,0.951691801527039,0.2456827767391111
0,0.2,removal,2,1000,0.08,10,0.9444988714498224,0.35349348057175956
0,0.1,replacement,3,600,0.15,4,0.9221653362875045,0.31907478890764107
