min_CNLs,consensus_thres,consensus_alg,random_seed,tree,leaf,learn_rate,random_strength,max_depth,accuracy_train,accuracy_test
1,0.25,replacement,1,1600,4,0.15,1.0,7,0.853258300527713,0.07076134970699721
1,0.1,replacement,3,1300,10,0.1,1.5,12,0.8297543237526767,0.13924483700345636
3,0.1,removal,3,1600,13,0.01,2.0,7,0.6570238155797488,0.19401139602717232
2,0.1,removal,3,400,13,0.01,1.5,7,0.508913070248641,0.11969474587615303
1,0.2,removal,1,800,40,0.1,1.5,16,0.7607767067326,0.16769358174143234
1,0.25,removal,1,600,40,0.01,2.5,7,0.4917028016484507,0.3013184899773972
3,0.2,replacement,2,200,7,0.15,1.2,16,0.7535560393023435,0.1758840130208349
3,0.2,replacement,1,1600,40,0.2,2.0,3,0.767757797060667,0.17830991375662908
3,0.0,removal,2,800,40,0.05,1.5,12,0.7316974930639462,0.14393663366528509
3,0.0,removal,3,800,10,0.2,1.5,16,0.8242149671746739,0.12180053812192493
1,0.0,removal,2,1000,13,0.01,1.5,12,0.6099967090337355,0.30065685742108494
0,0.0,replacement,1,1300,40,0.05,1.2,3,0.6008470369282648,0.052509827272051224
0,0.2,removal,2,200,4,0.05,1.0,7,0.6080209344984829,0.18104919354381976
1,0.2,removal,1,1600,4,0.05,2.5,3,0.6121968070562264,0.2466654553349592
1,0.25,removal,3,1300,4,0.01,1.0,12,0.6372492421410374,0.14509573506019513
0,0.1,removal,3,1000,13,0.15,1.2,3,0.6587945085464239,0.2843037717185374
3,0.25,replacement,3,200,4,0.15,1.5,12,0.7590604782762803,0.06905260861279994
1,0.0,removal,3,200,10,0.05,2.5,7,0.5494073284380983,0.17515188548223692
3,0.25,removal,3,1000,13,0.1,2.5,12,0.8075190022440252,0.014066683284976067
2,0.0,removal,1,600,40,0.01,1.2,16,0.5750968858061457,0.3203233180845385
2,0.0,removal,3,1600,7,0.15,1.2,16,0.8143059311797729,0.04723970118397791
2,0.0,replacement,2,1000,40,0.01,2.5,7,0.5671129823526875,0.08045207243112984
0,0.0,replacement,1,1600,10,0.01,2.5,12,0.6265075021743665,0.04734177110237059
3,0.25,removal,2,1600,40,0.1,1.0,3,0.6917801116932787,0.1184263839020423
3,0.0,replacement,1,400,10,0.2,2.0,7,0.7704671495108213,0.16093902000233118
0,0.25,removal,1,200,13,0.01,2.5,16,0.4420442098913173,0.12914315233584062
1,0.0,removal,2,1300,13,0.05,1.2,3,0.6185614432658477,0.2711834643166998
1,0.2,removal,3,400,4,0.1,1.0,12,0.7183027106940201,0.10946082786067945
1,0.1,removal,1,600,13,0.15,2.0,16,0.7639045045811883,0.1688685040199902
1,0.25,removal,2,1000,40,0.01,1.2,3,0.42651844997865385,0.3274705416422746
3,0.0,removal,3,800,13,0.01,1.5,3,0.4440558623172206,0.20990615232677645
2,0.1,replacement,1,200,13,0.15,1.2,16,0.7348786789829035,0.308201487644697
1,0.0,replacement,2,200,40,0.2,2.0,3,0.5714715518027418,0.27283878889151925
0,0.25,replacement,2,400,10,0.05,2.0,12,0.6867445118848082,0.15966992180184236
1,0.2,replacement,2,200,10,0.01,1.5,12,0.4137273055552233,0.24792140973376775
2,0.0,removal,1,800,4,0.01,1.0,7,0.570446011717139,0.3264659430968463
0,0.0,removal,2,200,7,0.2,1.0,3,0.5879081375749744,0.1693655801777132
2,0.1,removal,1,400,7,0.05,1.0,3,0.5102981451042942,0.3178083552517348
1,0.1,replacement,3,600,4,0.1,1.2,16,0.7832422499415759,0.15966940606892688
0,0.25,replacement,2,200,10,0.05,1.0,16,0.6235770527216332,0.17561265939672754
1,0.1,removal,1,800,13,0.15,2.0,12,0.7777218791395197,0.17816730044718065
1,0.1,removal,3,1000,40,0.15,1.5,3,0.6674973187811793,0.03253691562849903
3,0.1,removal,3,200,7,0.05,2.5,7,0.5891959351881328,0.18988595335211933
1,0.1,replacement,2,1000,13,0.2,2.0,7,0.8546164390774347,0.1122188037646028
2,0.2,removal,3,800,4,0.15,2.5,3,0.669005018069898,-0.01754311193244673
0,0.25,replacement,1,1600,40,0.05,1.2,7,0.7898647549894015,-0.032681918338026916
3,0.25,replacement,1,400,13,0.1,1.2,16,0.7692012739781591,0.1995943667356228
1,0.2,replacement,3,200,4,0.01,1.2,7,0.39574688177654993,0.209864422518112
1,0.2,removal,2,1000,40,0.15,1.2,12,0.8026940825997816,0.09620641087685156
0,0.2,removal,3,800,7,0.15,1.5,12,0.7700735893783293,0.20517025001803635
2,0.25,replacement,2,200,10,0.05,2.0,12,0.5716355533067147,0.09908328704076852
2,0.0,removal,1,1000,13,0.15,1.0,12,0.7971082013844281,0.17119161515225778
1,0.1,removal,1,200,13,0.2,1.5,3,0.555866264168619,0.27506359605556896
3,0.2,replacement,3,1300,13,0.2,2.5,16,0.8751597736479971,-0.027992615138747068
3,0.1,replacement,2,1600,13,0.2,1.5,16,0.8724728089823546,0.12827138819409667
2,0.0,removal,1,1600,7,0.1,2.5,16,0.7987469990940737,0.17177783149820713
2,0.25,removal,2,1000,7,0.2,1.2,3,0.7133707471346421,-0.0629706830528245
0,0.2,replacement,3,1300,10,0.1,1.5,3,0.6707646223287165,0.22378205758329928
2,0.0,removal,2,1300,4,0.1,1.0,7,0.7947252823985984,0.04432118881206759
0,0.2,removal,2,1000,13,0.15,2.5,16,0.8036715887427578,0.03483297901010973
1,0.1,removal,3,800,40,0.15,1.2,3,0.6522607280447812,0.06647306497921746
2,0.1,replacement,1,400,13,0.15,2.5,3,0.6234978806468177,0.2920289049859244
2,0.1,removal,3,200,4,0.2,2.5,12,0.7235440152425099,0.014907257883606584
3,0.1,replacement,3,200,13,0.1,1.5,16,0.7220260686103366,0.110942401491253
1,0.25,replacement,1,1000,7,0.01,1.5,7,0.5468042354085765,0.2650874082469179
0,0.25,replacement,2,1600,40,0.01,2.5,16,0.6551295322851005,0.18588884173062858
3,0.25,removal,3,400,10,0.1,1.2,7,0.753530771441408,0.12678796634357348
1,0.2,removal,2,1000,13,0.01,2.0,7,0.5668444067026739,0.29666944737221057
0,0.1,replacement,3,1600,13,0.05,2.0,12,0.7944619192285173,0.2503592577704711
1,0.2,replacement,3,800,7,0.2,1.0,12,0.8388140523836105,0.09008271729693618
0,0.1,replacement,1,1300,13,0.1,2.5,16,0.8258597523011207,-0.10271945317558262
0,0.25,replacement,3,1300,7,0.01,2.5,7,0.558558708782043,0.3178684524317461
0,0.25,removal,1,400,13,0.01,2.5,12,0.512601614128688,0.1311441331441402
1,0.2,replacement,1,600,4,0.1,1.0,3,0.6153176502407529,0.19394077863688997
1,0.25,replacement,1,1300,10,0.2,1.2,16,0.859785025203093,0.07020033599416042
3,0.25,replacement,1,1600,7,0.1,1.0,7,0.8429682508979602,0.23042609463272912
1,0.2,replacement,2,1300,13,0.1,1.2,7,0.839675881555162,0.10686330537786437
3,0.0,replacement,3,1300,40,0.2,1.0,3,0.746890612970916,0.10188668726652217
2,0.1,replacement,3,800,40,0.15,1.0,7,0.8301602446521834,0.09506612763515598
