leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
10,800,6,0.01,2,7,0.54,0.97,0.7603,0.4063,0.2072
4,600,6,0.05,2,5,0.05,0.36,0.7246,0.4165,0.2072
7,600,6,0.01,1,4,0.74,0.56,0.61,0.479,0.1974
7,600,6,0.1,1,6,0.62,0.57,0.9394,0.5299,0.1974
4,800,6,0.1,1,6,0.37,0.12,0.9222,0.533,0.1974
10,600,6,0.05,2,9,0.12,0.6,0.8347,0.4275,0.2072
7,1000,6,0.1,3,10,0.81,0.96,0.9881,0.5501,0.1985
10,1000,6,0.05,2,9,0.3,0.98,0.94,0.4443,0.2072
10,800,6,0.01,2,5,0.61,0.86,0.7095,0.3894,0.2072
4,800,6,0.01,2,4,0.61,0.84,0.6631,0.3854,0.2072
25,1000,6,0.01,3,6,0.8,0.59,0.7477,0.5432,0.1985
10,600,6,0.05,3,5,0.31,0.54,0.8119,0.5571,0.1985
4,600,6,0.05,3,4,0.98,0.36,0.7923,0.5401,0.1985
10,600,6,0.05,3,4,0.34,0.47,0.7739,0.5511,0.1985
4,800,6,0.01,2,4,0.99,0.27,0.6473,0.3748,0.2072
25,800,6,0.1,2,6,0.83,0.94,0.9447,0.3935,0.2072
25,1000,6,0.01,1,4,0.28,0.54,0.6355,0.4907,0.1974
13,600,6,0.1,2,7,0.92,0.31,0.9526,0.4304,0.2072
13,800,6,0.08,3,4,0.05,0.25,0.6818,0.4986,0.1985
25,1000,6,0.05,1,9,0.05,0.18,0.6999,0.4794,0.1974
4,1000,6,0.08,2,4,0.66,0.73,0.9092,0.4294,0.2072
7,600,6,0.08,3,7,0.64,0.92,0.948,0.5911,0.1985
7,1000,6,0.08,3,9,0.53,0.82,0.9771,0.5821,0.1985
7,600,6,0.08,2,9,0.69,0.73,0.9625,0.4015,0.2072
10,600,6,0.05,2,5,0.22,0.15,0.7728,0.4211,0.2072
13,1000,6,0.08,1,4,0.65,0.26,0.8815,0.5356,0.1974
7,1000,6,0.01,3,4,0.1,0.65,0.6015,0.4725,0.1985
25,800,6,0.05,3,6,0.95,0.74,0.8982,0.5858,0.1985
13,800,6,0.01,1,6,0.28,0.84,0.6947,0.5007,0.1974
25,800,6,0.01,2,6,0.92,0.93,0.7349,0.3975,0.2072
4,1000,6,0.05,1,7,0.85,0.45,0.9444,0.5379,0.1974
4,1000,6,0.05,1,4,0.78,0.47,0.8541,0.5534,0.1974
7,600,6,0.01,1,10,1.0,0.77,0.7292,0.5057,0.1974
7,600,6,0.1,3,4,0.46,0.81,0.8662,0.5682,0.1985
4,600,6,0.01,3,10,0.72,0.94,0.7335,0.5291,0.1985
25,1000,6,0.1,3,8,0.2,0.05,0.868,0.5664,0.1985
4,1000,6,0.05,1,5,0.27,0.98,0.8764,0.5593,0.1974
7,800,6,0.08,1,4,0.54,0.49,0.8713,0.5259,0.1974
25,800,6,0.05,1,7,0.25,0.94,0.8462,0.5392,0.1974
13,1000,6,0.08,2,7,0.39,0.09,0.9242,0.4134,0.2072
4,800,6,0.05,2,9,0.82,0.43,0.9505,0.4365,0.2072
25,1000,6,0.08,3,6,0.3,0.56,0.8836,0.5838,0.1985
25,800,6,0.05,2,9,0.25,0.57,0.8805,0.4424,0.2072
4,800,6,0.05,1,7,0.61,0.42,0.9313,0.5462,0.1974
4,1000,6,0.05,3,8,0.36,0.61,0.9411,0.5801,0.1985
10,800,6,0.08,1,6,0.21,0.47,0.875,0.5254,0.1974
10,600,6,0.05,2,4,0.61,0.59,0.8104,0.4386,0.2072
25,1000,6,0.01,2,6,0.33,0.75,0.7212,0.4036,0.2072
4,800,6,0.08,1,4,0.19,0.29,0.8107,0.5252,0.1974
4,600,6,0.05,2,7,0.07,0.33,0.7923,0.4095,0.2072
10,600,6,0.1,1,7,0.71,0.95,0.9592,0.5481,0.1974
10,600,6,0.08,2,8,0.14,0.36,0.868,0.4511,0.2072
25,600,6,0.1,1,6,0.71,0.5,0.9211,0.553,0.1974
25,600,6,0.05,1,5,0.67,0.93,0.8347,0.5492,0.1974
13,600,6,0.1,1,6,0.4,0.81,0.9131,0.524,0.1974
7,600,6,0.05,2,5,0.65,0.28,0.8516,0.4123,0.2072
13,1000,6,0.01,3,10,0.25,0.53,0.7717,0.5457,0.1985
13,800,6,0.05,3,9,0.92,0.6,0.9506,0.5929,0.1985
10,800,6,0.05,1,9,0.47,0.1,0.9149,0.5287,0.1974
10,1000,6,0.1,1,6,0.15,0.65,0.8914,0.5258,0.1974
4,1000,6,0.05,1,4,0.78,0.38,0.8491,0.5509,0.1974
25,1000,6,0.1,3,9,0.67,0.83,0.9772,0.5637,0.1985
25,1000,6,0.01,3,5,0.95,0.62,0.7205,0.5332,0.1985
7,800,6,0.1,2,9,0.68,0.93,0.9832,0.4086,0.2072
7,600,6,0.01,1,4,0.72,0.63,0.6124,0.4827,0.1974
10,800,6,0.1,1,4,0.1,0.14,0.7495,0.4672,0.1974
7,1000,6,0.08,2,6,0.89,0.08,0.947,0.4114,0.2072
4,800,6,0.01,3,5,0.66,0.22,0.674,0.5046,0.1985
7,600,6,0.08,2,9,0.69,0.12,0.9492,0.4433,0.2072
25,1000,6,0.01,1,8,0.47,0.25,0.7592,0.516,0.1974
10,800,6,0.1,2,4,0.85,0.77,0.9001,0.4072,0.2072
7,600,6,0.01,2,8,0.56,0.97,0.7342,0.3888,0.2072
25,600,6,0.05,1,9,0.14,0.97,0.797,0.5216,0.1974
7,800,6,0.1,2,9,0.09,0.88,0.9071,0.4171,0.2072
10,600,6,0.05,1,10,0.87,0.5,0.9321,0.5434,0.1974
13,800,6,0.05,2,4,0.22,0.45,0.7683,0.4332,0.2072
4,600,6,0.08,3,10,0.4,0.88,0.9523,0.5812,0.1985
25,600,6,0.08,2,8,0.72,0.15,0.93,0.3994,0.2072
4,1000,6,0.05,3,7,0.73,0.27,0.9418,0.5784,0.1985
4,600,6,0.08,1,10,1.0,0.42,0.9644,0.5177,0.1974
25,800,6,0.05,2,10,0.09,0.08,0.7636,0.4029,0.2072
10,1000,6,0.01,2,8,0.44,0.35,0.7888,0.4179,0.2072
25,800,6,0.01,1,8,0.99,0.19,0.7364,0.5096,0.1974
10,800,6,0.05,1,6,0.1,0.57,0.7852,0.5133,0.1974
13,800,6,0.1,2,9,0.39,0.4,0.9604,0.4282,0.2072
10,1000,6,0.1,3,8,0.12,0.08,0.8838,0.5447,0.1985
13,600,6,0.05,1,6,0.96,0.81,0.8806,0.538,0.1974
10,600,6,0.1,3,10,0.11,0.7,0.8915,0.5775,0.1985
4,600,6,0.1,2,7,0.42,0.17,0.9369,0.4236,0.2072
13,1000,6,0.01,3,4,0.41,0.86,0.6726,0.5138,0.1985
4,800,6,0.05,3,4,0.2,0.49,0.7842,0.5425,0.1985
25,1000,6,0.05,2,8,0.88,0.61,0.9452,0.4199,0.2072
4,600,6,0.01,2,6,0.12,0.57,0.6395,0.366,0.2072
7,600,6,0.08,1,9,0.92,0.97,0.9611,0.5384,0.1974
7,1000,6,0.01,1,10,0.26,0.71,0.7832,0.5201,0.1974
25,800,6,0.08,3,9,0.15,0.25,0.8491,0.5776,0.1985
4,800,6,0.1,3,4,0.32,0.97,0.8793,0.5598,0.1985
7,600,6,0.08,1,9,0.23,0.8,0.9227,0.5386,0.1974
4,600,6,0.05,1,6,0.22,0.93,0.8515,0.5447,0.1974
13,800,6,0.08,1,6,0.13,0.49,0.8279,0.5301,0.1974
10,600,6,0.05,1,5,0.62,0.61,0.845,0.5564,0.1974
10,800,6,0.1,3,8,0.17,0.28,0.9063,0.5808,0.1985
4,800,6,0.05,2,6,0.41,0.1,0.8863,0.4214,0.2072
13,600,6,0.05,2,4,0.29,0.86,0.7697,0.4304,0.2072
25,800,6,0.05,3,4,0.52,0.52,0.8042,0.5636,0.1985
13,800,6,0.08,2,10,0.23,0.05,0.8997,0.401,0.2072
7,1000,6,0.08,2,6,0.92,0.75,0.9598,0.4183,0.2072
10,800,6,0.08,3,5,0.2,0.38,0.8433,0.5725,0.1985
13,600,6,0.08,1,10,0.73,0.41,0.9587,0.5164,0.1974
13,800,6,0.08,2,8,0.61,0.17,0.9537,0.455,0.2072
4,800,6,0.05,2,5,0.45,0.07,0.8427,0.4163,0.2072
10,600,6,0.05,3,9,0.94,0.25,0.929,0.5786,0.1985
25,600,6,0.1,3,7,0.34,0.2,0.8822,0.5821,0.1985
10,1000,6,0.01,3,9,0.05,0.66,0.6318,0.4882,0.1985
10,800,6,0.05,3,4,0.29,0.47,0.7882,0.5479,0.1985
7,1000,6,0.01,1,6,0.59,0.33,0.7493,0.5235,0.1974
25,600,6,0.05,2,6,0.78,0.05,0.824,0.4123,0.2072
7,600,6,0.08,2,6,0.1,0.18,0.8053,0.4232,0.2072
7,1000,6,0.1,3,9,0.36,0.12,0.9562,0.574,0.1985
10,800,6,0.05,3,10,0.1,0.63,0.8483,0.5779,0.1985
4,1000,6,0.01,1,7,0.26,0.92,0.7589,0.5214,0.1974
13,600,6,0.08,3,10,0.29,0.22,0.914,0.5607,0.1985
4,1000,6,0.05,3,8,0.14,0.3,0.8884,0.5826,0.1985
25,1000,6,0.08,3,7,0.7,0.88,0.9557,0.5655,0.1985
10,600,6,0.08,3,7,0.25,0.75,0.8972,0.5741,0.1985
4,1000,6,0.1,1,7,1.0,0.21,0.9781,0.5305,0.1974
7,800,6,0.1,2,10,0.36,0.33,0.9652,0.4508,0.2072
13,1000,6,0.01,1,8,0.75,1.0,0.8028,0.5456,0.1974
4,1000,6,0.05,2,9,0.79,0.22,0.9601,0.4082,0.2072
13,600,6,0.05,2,7,0.17,0.54,0.8213,0.4401,0.2072
4,600,6,0.01,1,10,0.78,0.24,0.7011,0.4981,0.1974
4,600,6,0.05,1,10,0.64,0.99,0.9408,0.5295,0.1974
7,1000,6,0.1,2,8,0.79,0.43,0.983,0.4025,0.2072
10,1000,6,0.01,1,5,0.43,0.2,0.6922,0.5016,0.1974
7,1000,6,0.05,2,9,0.82,0.15,0.9557,0.4431,0.2072
7,600,6,0.1,3,10,0.54,0.86,0.9699,0.5958,0.1985
7,600,6,0.08,3,4,0.79,0.48,0.8511,0.5551,0.1985
4,600,6,0.08,2,10,0.14,0.69,0.9138,0.4382,0.2072
7,600,6,0.1,2,6,0.83,0.98,0.944,0.4247,0.2072
7,800,6,0.1,1,9,0.29,0.46,0.9534,0.5341,0.1974
10,600,6,0.01,3,9,0.96,0.69,0.7299,0.5275,0.1985
10,600,6,0.08,1,4,0.48,0.31,0.8319,0.5481,0.1974
7,1000,6,0.08,2,9,0.66,0.58,0.9809,0.4501,0.2072
13,600,6,0.01,3,5,0.11,0.49,0.5731,0.453,0.1985
13,800,6,0.01,1,9,0.77,0.24,0.7482,0.5179,0.1974
4,600,6,0.05,2,10,0.63,0.23,0.9289,0.4382,0.2072
7,600,6,0.01,2,5,0.77,0.39,0.6612,0.3776,0.2072
7,600,6,0.1,2,7,0.28,0.29,0.9205,0.4176,0.2072
13,800,6,0.1,1,9,0.66,0.47,0.9743,0.4956,0.1974
25,600,6,0.05,1,9,0.72,0.54,0.9129,0.5473,0.1974
13,800,6,0.01,2,5,0.87,0.85,0.7063,0.3889,0.2072
4,1000,6,0.01,3,4,0.28,0.68,0.6627,0.5054,0.1985
7,800,6,0.1,2,5,0.12,0.33,0.8393,0.46,0.2072
10,800,6,0.01,1,7,0.26,0.98,0.7239,0.5127,0.1974
4,600,6,0.05,3,7,0.7,0.5,0.9107,0.5837,0.1985
4,1000,6,0.1,2,5,0.53,0.16,0.9344,0.4091,0.2072
25,600,6,0.01,2,9,0.79,0.24,0.717,0.3767,0.2072
13,800,6,0.08,1,9,0.41,0.97,0.9564,0.5248,0.1974
25,800,6,0.1,1,5,0.33,0.96,0.8745,0.5356,0.1974
4,800,6,0.05,2,8,0.1,0.95,0.8712,0.4389,0.2072
4,600,6,0.08,1,5,0.3,0.64,0.872,0.5403,0.1974
