leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
10,1000,6,0.08,3,10,0.42,0.33,0.9653,0.5801,0.1985
25,600,6,0.05,3,6,0.67,0.93,0.8659,0.5914,0.1985
10,800,6,0.08,3,6,0.24,0.97,0.8934,0.5848,0.1985
4,600,6,0.01,1,8,0.32,0.65,0.7119,0.4527,0.1974
13,800,6,0.08,3,9,0.65,0.17,0.9587,0.5744,0.1985
7,800,6,0.08,3,5,0.92,0.44,0.9177,0.5764,0.1985
10,800,6,0.05,3,7,0.92,0.1,0.9109,0.5718,0.1985
4,1000,6,0.1,3,8,0.37,0.66,0.9726,0.596,0.1985
25,600,6,0.05,2,4,0.89,0.68,0.7966,0.4581,0.2072
13,800,6,0.05,2,10,0.97,0.06,0.9276,0.3886,0.2072
4,1000,6,0.1,3,10,0.75,0.68,0.9876,0.6081,0.1985
4,600,6,0.01,3,9,0.99,0.66,0.7306,0.5227,0.1985
7,1000,6,0.08,1,7,0.11,0.61,0.8876,0.4786,0.1974
7,600,6,0.1,1,10,0.28,0.3,0.9379,0.4967,0.1974
4,800,6,0.05,1,9,0.1,0.8,0.8729,0.4773,0.1974
25,1000,6,0.01,3,8,0.28,0.82,0.7498,0.5364,0.1985
25,800,6,0.05,3,10,0.66,0.3,0.936,0.586,0.1985
25,1000,6,0.08,1,9,0.32,0.58,0.9348,0.4894,0.1974
7,800,6,0.01,1,10,0.62,0.66,0.7841,0.4834,0.1974
13,1000,6,0.1,3,5,0.79,0.99,0.9453,0.5757,0.1985
7,1000,6,0.08,1,9,0.69,0.93,0.9837,0.5041,0.1974
13,1000,6,0.05,2,6,0.08,0.68,0.7778,0.4427,0.2072
13,800,6,0.08,1,9,0.54,0.84,0.9696,0.5086,0.1974
10,1000,6,0.1,3,5,0.87,0.72,0.9494,0.5785,0.1985
7,1000,6,0.05,2,7,0.7,0.33,0.9485,0.439,0.2072
13,800,6,0.1,2,9,0.38,0.62,0.964,0.4233,0.2072
13,1000,6,0.05,2,8,0.45,0.61,0.9443,0.4351,0.2072
13,1000,6,0.05,3,8,0.71,0.94,0.9552,0.5817,0.1985
13,600,6,0.08,3,10,0.21,1.0,0.9135,0.5832,0.1985
7,800,6,0.01,1,4,0.68,0.2,0.6388,0.435,0.1974
25,600,6,0.05,2,6,0.34,0.83,0.8311,0.4538,0.2072
25,600,6,0.08,3,5,0.62,0.68,0.8725,0.5684,0.1985
4,600,6,0.01,3,4,0.91,0.78,0.6262,0.4762,0.1985
4,600,6,0.05,3,4,0.27,0.28,0.7685,0.5506,0.1985
25,1000,6,0.05,1,7,0.22,0.28,0.8407,0.483,0.1974
7,800,6,0.08,3,8,0.44,0.54,0.9566,0.5803,0.1985
10,800,6,0.08,1,5,0.3,0.77,0.8791,0.4971,0.1974
10,800,6,0.01,1,9,0.1,0.16,0.6692,0.4219,0.1974
25,1000,6,0.05,1,4,0.3,0.24,0.7759,0.4863,0.1974
13,800,6,0.01,1,4,0.29,0.8,0.6372,0.4344,0.1974
13,600,6,0.05,1,6,0.78,0.58,0.8843,0.5085,0.1974
7,1000,6,0.05,2,8,0.7,0.17,0.9521,0.4264,0.2072
4,1000,6,0.05,2,5,0.91,0.37,0.9074,0.4532,0.2072
25,600,6,0.1,2,6,0.27,0.26,0.8464,0.449,0.2072
10,1000,6,0.08,3,8,0.49,0.83,0.9695,0.5952,0.1985
10,1000,6,0.08,3,5,0.1,0.89,0.8156,0.5627,0.1985
10,800,6,0.01,3,8,0.75,0.9,0.7782,0.5441,0.1985
13,800,6,0.05,2,4,0.92,0.71,0.8265,0.4448,0.2072
10,800,6,0.08,1,9,0.75,0.9,0.9768,0.5063,0.1974
13,800,6,0.1,1,7,0.57,0.67,0.9624,0.5044,0.1974
10,1000,6,0.01,3,10,0.69,0.91,0.8277,0.5602,0.1985
7,600,6,0.01,3,6,0.12,0.55,0.6237,0.4723,0.1985
25,600,6,0.08,1,10,0.13,0.82,0.8368,0.4521,0.1974
13,800,6,0.1,1,5,0.26,0.1,0.8496,0.4797,0.1974
10,600,6,0.08,2,7,0.27,0.66,0.9012,0.4468,0.2072
13,600,6,0.05,2,8,0.23,0.61,0.8579,0.4328,0.2072
10,1000,6,0.01,3,10,0.38,0.43,0.7984,0.5519,0.1985
7,800,6,0.05,1,6,0.22,0.71,0.8624,0.4976,0.1974
7,600,6,0.05,2,5,0.9,0.66,0.8561,0.4549,0.2072
10,800,6,0.01,1,7,0.05,0.9,0.6005,0.4148,0.1974
7,800,6,0.05,3,10,0.24,0.81,0.918,0.5792,0.1985
13,800,6,0.08,3,5,0.25,0.28,0.8414,0.5594,0.1985
4,600,6,0.08,1,4,0.68,0.31,0.8564,0.4996,0.1974
13,1000,6,0.01,1,9,0.81,0.07,0.7654,0.4519,0.1974
13,1000,6,0.1,3,8,0.32,0.44,0.9522,0.5835,0.1985
25,800,6,0.1,1,7,0.71,0.84,0.9591,0.5127,0.1974
7,1000,6,0.08,1,4,0.2,0.65,0.8309,0.482,0.1974
13,1000,6,0.1,3,4,0.24,0.76,0.8489,0.5621,0.1985
4,1000,6,0.01,2,4,0.64,0.47,0.6922,0.4161,0.2072
7,1000,6,0.05,1,4,0.15,0.16,0.7606,0.446,0.1974
25,800,6,0.05,1,6,0.39,0.36,0.854,0.5012,0.1974
7,600,6,0.01,3,4,0.95,0.09,0.5712,0.4469,0.1985
10,800,6,0.1,3,9,0.57,0.86,0.9772,0.5781,0.1985
4,600,6,0.1,2,6,0.39,0.08,0.9014,0.4238,0.2072
7,1000,6,0.08,1,5,0.08,0.57,0.8153,0.4727,0.1974
4,800,6,0.05,2,8,0.64,0.33,0.9441,0.4304,0.2072
4,600,6,0.05,1,9,0.3,1.0,0.909,0.516,0.1974
13,600,6,0.08,1,4,0.24,0.59,0.7934,0.4777,0.1974
13,800,6,0.01,2,4,0.96,0.21,0.6507,0.3744,0.2072
13,1000,6,0.08,3,5,0.38,0.19,0.882,0.5583,0.1985
25,600,6,0.08,1,6,0.32,0.12,0.8361,0.4748,0.1974
10,1000,6,0.08,3,8,0.5,0.93,0.9707,0.5769,0.1985
7,1000,6,0.08,1,4,0.96,0.74,0.9053,0.492,0.1974
7,1000,6,0.01,1,8,0.47,0.59,0.799,0.4856,0.1974
4,600,6,0.08,2,10,0.14,0.21,0.8977,0.4218,0.2072
25,600,6,0.05,1,5,0.56,0.14,0.81,0.5062,0.1974
25,800,6,0.08,3,6,0.84,0.32,0.9245,0.6001,0.1985
25,800,6,0.05,3,6,0.14,0.85,0.7706,0.5383,0.1985
4,600,6,0.08,3,9,0.24,0.61,0.9249,0.5722,0.1985
13,1000,6,0.05,3,9,0.15,0.87,0.882,0.5696,0.1985
10,600,6,0.08,1,5,0.44,0.31,0.8722,0.5014,0.1974
13,600,6,0.05,1,9,0.9,0.15,0.9182,0.5047,0.1974
25,1000,6,0.01,2,6,0.35,0.94,0.7302,0.4222,0.2072
10,800,6,0.1,1,8,0.92,0.76,0.9791,0.4841,0.1974
13,600,6,0.1,1,7,0.61,0.37,0.9451,0.5274,0.1974
10,1000,6,0.08,3,10,0.56,0.87,0.98,0.5941,0.1985
10,800,6,0.08,3,9,0.37,0.55,0.9525,0.5832,0.1985
10,800,6,0.1,3,9,0.31,0.81,0.9584,0.5995,0.1985
25,800,6,0.01,3,6,0.39,0.19,0.6743,0.4991,0.1985
7,1000,6,0.08,2,7,0.15,0.13,0.8848,0.444,0.2072
13,1000,6,0.05,1,5,0.59,0.88,0.8959,0.5139,0.1974
13,1000,6,0.05,1,8,0.91,0.07,0.9306,0.4971,0.1974
7,1000,6,0.05,2,10,0.13,0.71,0.9009,0.4456,0.2072
25,800,6,0.05,3,9,0.36,0.69,0.904,0.5862,0.1985
10,600,6,0.05,1,4,0.64,0.22,0.7965,0.5065,0.1974
10,600,6,0.08,2,7,0.33,0.13,0.8932,0.448,0.2072
13,600,6,0.1,3,10,0.6,0.26,0.9632,0.5659,0.1985
13,600,6,0.05,3,9,0.52,0.26,0.9108,0.5807,0.1985
7,600,6,0.1,2,9,0.16,0.07,0.8867,0.4403,0.2072
10,600,6,0.08,3,8,0.46,0.65,0.9426,0.5891,0.1985
4,600,6,0.05,2,4,0.3,0.79,0.7924,0.4658,0.2072
10,1000,6,0.1,1,6,0.92,0.31,0.9703,0.4858,0.1974
4,1000,6,0.05,1,5,0.76,0.24,0.9001,0.5161,0.1974
25,1000,6,0.05,2,5,0.88,0.62,0.8838,0.4378,0.2072
13,1000,6,0.05,2,8,0.4,0.6,0.9368,0.4661,0.2072
7,600,6,0.05,3,6,0.23,0.29,0.8277,0.5555,0.1985
25,600,6,0.05,2,5,0.83,0.24,0.8252,0.4583,0.2072
10,600,6,0.08,1,9,0.99,0.8,0.9646,0.4963,0.1974
10,600,6,0.05,1,4,0.81,0.63,0.8135,0.5087,0.1974
7,800,6,0.08,2,8,0.1,0.46,0.8786,0.4182,0.2072
4,1000,6,0.01,1,9,0.77,0.9,0.822,0.5109,0.1974
10,800,6,0.08,1,4,0.96,0.34,0.8721,0.4822,0.1974
10,800,6,0.1,2,4,0.58,0.52,0.8971,0.4253,0.2072
7,800,6,0.1,2,6,0.9,0.84,0.9648,0.4194,0.2072
7,1000,6,0.08,2,6,0.05,0.41,0.8115,0.4337,0.2072
13,1000,6,0.05,3,8,0.71,0.2,0.9456,0.5889,0.1985
25,1000,6,0.01,1,4,0.47,0.1,0.6319,0.4191,0.1974
10,1000,6,0.1,1,10,0.75,0.24,0.985,0.5005,0.1974
10,1000,6,0.08,1,8,0.39,0.94,0.9644,0.5016,0.1974
25,600,6,0.1,1,5,0.63,0.98,0.8941,0.506,0.1974
10,800,6,0.08,2,4,0.34,0.68,0.8495,0.4414,0.2072
10,800,6,0.05,1,7,0.18,0.44,0.8521,0.4854,0.1974
10,1000,6,0.1,3,4,0.71,0.37,0.9034,0.5828,0.1985
4,800,6,0.05,2,4,0.26,0.97,0.8115,0.4614,0.2072
25,600,6,0.1,2,5,0.22,0.8,0.817,0.4416,0.2072
13,1000,6,0.05,3,6,0.6,0.56,0.9149,0.5858,0.1985
25,800,6,0.08,2,4,0.83,0.18,0.8547,0.4347,0.2072
4,600,6,0.05,3,9,0.44,0.61,0.9196,0.592,0.1985
4,600,6,0.01,1,4,0.99,0.56,0.6278,0.4286,0.1974
13,1000,6,0.01,3,7,0.86,0.12,0.7548,0.5279,0.1985
