min_CNLs,consensus_thres,consensus_alg,random_seed,tree,leaf,learn_rate,random_strength,depth,accuracy_train,accuracy_test
0,0.2,replacement,1,400,4,0.2,1.2,3,0.5907604652913903,0.10112697375692825
2,0.25,replacement,3,1300,40,0.2,1.0,5,0.798330660478517,0.0798696044640117
3,0.2,removal,2,400,10,0.15,1.5,5,0.658052203980203,0.1571354490910064
3,0.1,replacement,2,1600,4,0.2,1.0,2,0.6537213193929463,0.1904175343672685
1,0.0,replacement,2,200,40,0.01,1.5,3,0.22958221344814356,0.25872106629620795
0,0.0,replacement,2,1600,7,0.2,1.5,5,0.7673037070889173,0.011431848728063465
2,0.2,replacement,2,200,4,0.01,1.0,3,0.24879710983621373,0.07554026863892993
2,0.2,removal,1,800,10,0.1,1.0,2,0.5201994280639268,0.3042004142853436
1,0.0,replacement,2,600,13,0.1,2.5,5,0.646282914796664,0.2554060130455391
3,0.1,removal,2,200,4,0.01,1.2,5,0.31454706426345813,0.21532312651879248
1,0.0,replacement,1,800,7,0.05,2.5,2,0.43295231876575513,0.25977015569853534
3,0.1,replacement,3,400,7,0.05,1.2,7,0.6525638187127811,0.19956119902097647
1,0.2,replacement,2,600,13,0.15,1.0,7,0.7777494626086024,0.21536491977654948
0,0.25,removal,1,1300,10,0.2,1.2,5,0.7374060753772925,-0.10182360100178434
3,0.2,replacement,2,1000,10,0.1,1.2,2,0.5664139102595196,0.23221156781025065
1,0.1,replacement,2,600,10,0.01,1.0,7,0.48175020491771703,0.3036061036807809
3,0.0,replacement,2,1600,7,0.2,1.2,2,0.6226235069980515,0.1101657499780615
3,0.25,removal,3,600,10,0.1,1.0,2,0.5286484116695693,0.16504673762012634
0,0.1,removal,1,1000,10,0.01,1.5,3,0.384332611803036,0.15645991838915374
0,0.0,removal,2,1300,10,0.05,2.0,5,0.6592439900738934,0.12083331366114702
0,0.1,removal,2,800,13,0.01,1.0,7,0.508177970320671,0.18025514774753393
3,0.25,replacement,1,200,13,0.01,2.5,3,0.24864600893115463,0.1302471192617709
3,0.2,replacement,3,200,7,0.15,1.5,5,0.632331633475437,0.18154984249191197
2,0.0,removal,2,1600,10,0.05,2.5,7,0.7319422205933904,0.06231954983989463
1,0.1,replacement,1,600,13,0.2,1.2,3,0.6324462912327753,0.21251555003267808
0,0.25,removal,1,1600,7,0.01,1.2,7,0.5600393696898971,0.12894797169022043
3,0.2,replacement,2,400,13,0.1,1.2,5,0.6505913026030359,0.2401578667410058
2,0.25,replacement,1,600,4,0.01,2.5,5,0.40730194377301643,0.27247701920835665
3,0.2,removal,3,1300,4,0.15,1.5,3,0.690552147223827,0.13893951498130808
