INCHIKEY,pH_aq,IE,IE_hat_CNL,class_CNL
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8330746285007287,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.811036118055988,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8235352375543696,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.323987084328013,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.323987084328013,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.323987084328013,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.323987084328013,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.323987084328013,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.323987084328013,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.335463796601487,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.3366178914651554,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.3366178914651554,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.3366178914651554,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.3366178914651554,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.3366178914651554,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.3448725462814606,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.3448725462814606,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.546660773364757,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.546660773364757,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.5359337695440445,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.5359337695440445,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.5359337695440445,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.5359337695440445,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.5359337695440445,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.537900518219939,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.500297447613071,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.5024736716841427,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9330204099751993,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9330204099751993,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9330204099751993,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9330204099751993,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9330204099751993,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9330204099751993,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9342701029980949,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9354241978617637,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9354241978617637,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9354241978617637,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9354241978617637,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9354241978617637,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9714524140330387,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9714524140330387,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9699198724850002,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9699198724850002,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9695534503860226,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9695534503860226,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9695534503860226,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9695534503860226,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9695534503860226,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9715201990619171,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.9553052983982138,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.971872861955043,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.355000157872744,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.355000157872744,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.355000157872744,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.355000157872744,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.355000157872744,train
