INCHIKEY,pH_aq,IE,IE_hat_CNL,class_CNL
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.6369944490780877,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.63329895089936,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.6121322178908637,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.7176598877943108,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.800990740182999,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.5851218204090276,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.5597131842512335,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.5196376038569068,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.5622102592744818,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.571058969508059,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.6875141503880606,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.5624430673777931,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.5718904593392196,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.6085906798381406,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.6162973689089843,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.6092829643260311,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.6016226232646829,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.7740415967012702,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.7740415967012702,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.883546740041019,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,2.1146736377338473,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,2.101284510321797,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,2.0919029636312287,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.5930210669305709,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.5930210669305709,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.5930210669305709,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.5930210669305709,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.5930210669305709,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.628264170692772,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.628264170692772,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.6489462195457383,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.6489462195457383,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.6489462195457383,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.6489462195457383,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.6460597455362653,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.6423642473575377,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.6255288517251403,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.7432430406256234,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.8180693818850298,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.5930210669305709,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.5676124307727763,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.5248148405929816,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.5673874960105563,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.5762362062441337,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.692691387124135,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.5645822028568774,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.5804532425223483,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,1.63,1.617153463021269,train
